ProDataCSV

Title: Tue Apr 28 11:31:33 2026 22.3911C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,22.2665,-3.43449,419.373,0.0879894,8.06349,10000,
239,22.3163,-4.06066,419.373,0.0900121,7.9818,10000,
238,22.3163,-4.96533,419.373,0.0942777,7.86181,10000,
237,22.3163,-5.88196,422.714,0.0974889,7.95473,10000,
236,22.3163,-6.63881,426.163,0.100685,7.99996,10000,
235,22.3163,-8.10726,428.986,0.110448,7.92767,10000,
234,22.3163,-9.27839,433.594,0.113782,7.94354,10000,
233,22.3163,-10.9444,438.324,0.116985,8.0052,10000,
232,22.3163,-12.4375,441.208,0.126011,7.99503,10000,
231,22.3163,-14.247,444.168,0.136943,7.95529,10000,
230,22.3662,-16.1403,447.296,0.1467,7.93346,10000,
229,22.3662,-17.5253,450.836,0.154275,7.94739,10000,
228,22.3662,-18.7582,454.651,0.161901,7.96514,10000,
227,22.3662,-19.8047,457.718,0.168851,7.96397,10000,
226,22.3662,-20.8931,461.014,0.170093,7.96272,10000,
225,22.3662,-21.6379,464.63,0.180123,7.97822,10000,
224,22.3662,-22.438,467.422,0.181964,7.94662,10000,
223,22.4161,-22.5935,470.779,0.186992,7.94726,10000,
222,22.4161,-22.5183,474.487,0.193431,7.97972,10000,
221,22.4161,-22.463,477.615,0.2028,7.95607,10000,
220,22.4161,-21.9189,480.759,0.207914,7.95247,10000,
219,22.4161,-21.7003,484.604,0.215867,7.97647,10000,
218,22.4161,-21.4626,487.442,0.220228,7.95997,10000,
217,22.4161,-20.9735,490.433,0.229149,7.93883,10000,
216,22.466,-20.7748,493.637,0.237433,7.96727,10000,
215,22.466,-20.3069,496.323,0.245004,7.94133,10000,
214,22.466,-20.2264,500.015,0.255542,7.97414,10000,
213,22.466,-20.8103,501.617,0.266403,7.95838,10000,
212,22.466,-20.5642,503.83,0.276961,7.98592,10000,
211,22.466,-21.3477,504.974,0.294204,7.89843,10000,
210,22.466,-21.5962,507.385,0.30803,7.92495,10000,
209,22.466,-21.9864,509.949,0.325398,7.9582,10000,
208,22.5158,-20.9867,512.36,0.344745,7.92995,10000,
207,22.5158,-19.6933,515.625,0.369694,7.93686,10000,
206,22.5158,-16.4132,519.073,0.392524,7.95996,10000,
205,22.5158,-13.1621,522.629,0.421539,7.94932,10000,
204,22.5158,-9.05587,526.688,0.453404,7.92222,10000,
203,22.5158,-4.87675,531.723,0.486237,7.95042,10000,
202,22.5158,0.576453,536.911,0.524915,7.88613,10000,
201,22.5657,6.70145,544.937,0.569758,7.93617,10000,
200,22.5657,13.4364,553.665,0.619675,7.96491,10000,
199,22.5657,20.3715,562.698,0.676355,7.91059,10000,
198,22.5657,26.803,568.558,0.73698,7.88662,10000,
197,22.5657,33.8253,575.15,0.799605,7.89081,10000,
196,22.5657,38.4065,582.764,0.863242,7.91535,10000,
195,22.6155,41.7667,590.302,0.924846,7.95891,10000,
194,22.6155,43.7652,597.015,0.987872,7.92356,10000,
193,22.6155,44.9394,604.492,1.04789,7.92203,10000,
192,22.6155,44.6434,612.244,1.1074,7.9386,10000,
191,22.6155,43.2473,621.017,1.16669,7.95526,10000,
190,22.6155,41.5444,627.35,1.23198,7.89088,10000,
