ProDataCSV

Title: Tue Apr 28 11:31:33 2026 66.3052C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,66.1838,-3.65022,421.951,0.100618,8.02137,10000,
239,66.1838,-4.56873,421.951,0.103673,7.92126,10000,
238,66.1838,-5.01179,421.951,0.10784,7.80396,10000,
237,66.1838,-5.72832,426.758,0.112406,7.96814,10000,
236,66.2324,-7.08136,429.031,0.114989,7.93612,10000,
235,66.2324,-7.89573,433.09,0.124756,7.94104,10000,
234,66.2324,-8.95123,437.241,0.12686,7.94003,10000,
233,66.2324,-10.296,438.904,0.130307,7.83446,10000,
232,66.2324,-11.5207,443.359,0.140318,7.98734,10000,
231,66.2324,-12.979,446.06,0.149864,7.93333,10000,
230,66.2809,-14.4549,449.844,0.157643,8.00873,10000,
229,66.2809,-15.3892,452.835,0.164408,7.96875,10000,
228,66.2809,-16.2648,456.985,0.173029,7.99119,10000,
227,66.2809,-17.5358,459.824,0.180754,7.94591,10000,
226,66.2809,-17.9864,463.135,0.180078,7.97361,10000,
225,66.2809,-18.5752,466.721,0.191393,7.95516,10000,
224,66.2809,-19.195,470.291,0.193558,7.97743,10000,
223,66.3295,-19.2874,473.068,0.198284,7.92832,10000,
222,66.3295,-18.9032,477.02,0.204488,7.97718,10000,
221,66.3295,-18.7944,480.713,0.213842,7.99048,10000,
220,66.3295,-18.8877,483.78,0.219469,7.9649,10000,
219,66.3295,-18.6149,486.908,0.227543,7.92812,10000,
218,66.3295,-18.1103,490.906,0.232577,7.97514,10000,
217,66.3295,-17.6757,494.095,0.241453,7.96189,10000,
216,66.378,-18.261,497.086,0.251283,7.94151,10000,
215,66.378,-17.9705,500.259,0.260059,7.93607,10000,
214,66.378,-17.8273,502.487,0.271968,7.98178,10000,
213,66.378,-18.1261,504.562,0.285619,7.96365,10000,
212,66.378,-18.4919,507.019,0.299559,7.94551,10000,
211,66.4266,-18.9635,509.079,0.317183,7.9471,10000,
210,66.378,-19.6381,512.039,0.3347,7.94923,10000,
209,66.4266,-19.7568,515.579,0.357376,7.96786,10000,
208,66.4266,-18.8705,519.211,0.381171,7.95934,10000,
207,66.4266,-17.8169,523.407,0.41006,7.95283,10000,
206,66.4266,-15.0249,528.32,0.439124,7.96059,10000,
205,66.4266,-12.1458,533.951,0.475726,7.95008,10000,
204,66.4751,-8.43509,540.1,0.512883,7.94714,10000,
203,66.4751,-4.42833,545.197,0.554869,7.75896,10000,
202,66.4751,0.437251,556.839,0.600782,7.94959,10000,
201,66.4751,5.87336,565.002,0.651673,7.95246,10000,
200,66.4751,11.7132,571.198,0.7108,7.91544,10000,
199,66.5236,17.2952,578.644,0.774707,7.91162,10000,
198,66.5236,23.8175,587.86,0.84116,7.95146,10000,
197,66.5236,29.9825,597.626,0.91149,7.92272,10000,
196,66.5236,32.8253,609.161,0.982951,7.92483,10000,
195,66.5236,35.3608,621.475,1.05529,7.92869,10000,
194,66.5236,37.4048,629.852,1.13023,7.92695,10000,
193,66.5722,36.7639,636.383,1.20436,7.81374,10000,
192,66.5722,37.7318,646.103,1.28161,7.91829,10000,
191,66.5722,35.755,657.959,1.36643,7.92343,10000,
190,66.5722,34.3223,673.462,1.4612,7.96478,10000,
