ProDataCSV

Title: Tue Apr 28 11:31:33 2026 73.3883C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,73.2671,-3.37968,423.126,0.103724,8.0497,10000,
239,73.2671,-4.20928,423.126,0.107383,7.9382,10000,
238,73.2671,-4.82798,424.316,0.111684,7.90234,10000,
237,73.2671,-5.55308,427.277,0.1163,7.93287,10000,
236,73.2671,-6.65494,430.405,0.118701,7.96131,10000,
235,73.2671,-7.54023,434.067,0.126921,7.96556,10000,
234,73.3156,-8.50764,438.141,0.130797,7.96561,10000,
233,73.3156,-9.9111,440.811,0.134622,7.98853,10000,
232,73.3156,-11.2324,443.558,0.142611,7.96833,10000,
231,73.3156,-12.4004,447.174,0.152875,8.00202,10000,
230,73.3156,-13.5951,450.272,0.161377,7.98549,10000,
229,73.3156,-14.7671,453.278,0.166854,7.96905,10000,
228,73.3156,-15.5774,457.352,0.175303,7.98497,10000,
227,73.364,-16.4312,460.663,0.183616,7.97182,10000,
226,73.364,-16.8984,463.44,0.18444,7.92127,10000,
225,73.364,-17.4353,467.377,0.193963,7.96479,10000,
224,73.364,-18.3425,470.795,0.197058,7.95521,10000,
223,73.364,-17.8119,474.167,0.202591,7.93803,10000,
222,73.364,-18.1779,478.088,0.208597,7.98479,10000,
221,73.364,-18.2174,481.461,0.217745,7.975,10000,
220,73.4125,-17.5366,484.634,0.223071,7.96116,10000,
219,73.4125,-17.3593,487.9,0.231802,7.92033,10000,
218,73.4125,-17.5634,491.898,0.236737,7.96672,10000,
217,73.4125,-17.0366,495.056,0.245948,7.94351,10000,
216,73.4125,-16.5676,498.184,0.256446,7.91827,10000,
215,73.461,-17.1525,501.114,0.265728,7.93978,10000,
214,73.461,-16.4209,503.51,0.279576,7.96657,10000,
213,73.461,-17.0846,505.707,0.292138,7.97887,10000,
212,73.461,-17.5162,508.133,0.305894,7.95591,10000,
211,73.461,-18.0958,510.483,0.326331,7.93408,10000,
210,73.461,-18.9315,513.748,0.344297,7.95377,10000,
209,73.5095,-18.5289,517.365,0.367236,7.96708,10000,
208,73.5095,-18.1699,519.089,0.392863,7.73635,10000,
207,73.5095,-16.2444,525.757,0.422668,7.93657,10000,
206,73.5095,-14.5407,531.418,0.453958,7.95566,10000,
205,73.5095,-11.5046,536.972,0.490163,7.93103,10000,
204,73.558,-8.08057,543.839,0.530153,7.9156,10000,
203,73.558,-4.34189,552.383,0.572767,7.94257,10000,
202,73.558,0.48318,561.768,0.619254,7.93321,10000,
201,73.558,4.99763,568.161,0.672583,7.94691,10000,
200,73.558,11.0334,575.089,0.732504,7.94108,10000,
199,73.558,17.1031,582.611,0.797762,7.88106,10000,
198,73.558,21.9625,591.095,0.865223,7.79986,10000,
197,73.6065,26.2653,603.516,0.936834,7.9245,10000,
196,73.6065,29.9614,617.004,1.0113,7.95753,10000,
195,73.6065,32.7662,627.594,1.0847,7.94099,10000,
194,73.6065,35.215,635.086,1.16277,7.9263,10000,
193,73.6065,34.3833,644.241,1.23934,7.9758,10000,
192,73.655,35.3488,654.205,1.32146,7.92408,10000,
191,73.655,34.8343,668.716,1.41037,7.96804,10000,
190,73.655,32.2191,686.829,1.51444,7.89456,10000,
