ProDataCSV

Title: Tue Apr 28 11:31:33 2026 196nm

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Temperature,124 temperatures, from 20.3693 to 90.7264degrees Celsius in stepped ramp mode.

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
20.3693,38.5462,582.062,0.857314,7.95608,10000,
20.4193,38.6741,581.955,0.857979,7.93356,10000,
20.7191,38.2952,581.955,0.858096,7.93143,10000,
21.1186,38.8665,580.688,0.859053,7.79166,10000,
21.5679,38.5979,582.55,0.859823,7.95732,10000,
22.017,38.0847,583.023,0.860646,7.98775,10000,
22.5657,38.4065,582.764,0.863242,7.91535,10000,
23.1639,38.5185,582.993,0.864102,7.92153,10000,
23.6621,38.229,583.466,0.864966,7.95085,10000,
24.2099,38.0306,583.481,0.866909,7.9168,10000,
24.8071,38.4671,582.336,0.86724,7.80232,10000,
25.3543,38.1862,583.618,0.868632,7.89843,10000,
25.8515,38.1828,582.916,0.870821,7.79275,10000,
26.4478,37.4806,584.503,0.870791,7.94243,10000,
26.9941,38.4623,584.747,0.873116,7.92286,10000,
27.5402,38.9202,585.175,0.874867,7.93077,10000,
28.1356,38.1467,585.938,0.877982,7.94462,10000,
28.6316,38.2364,586.075,0.877813,7.96041,10000,
29.2264,37.6121,586.121,0.879054,7.94191,10000,
29.7714,38.078,586.746,0.883285,7.92206,10000,
30.3656,37.8497,586.517,0.882545,7.91462,10000,
30.9596,37.8748,586.99,0.883905,7.93301,10000,
31.5038,37.8916,586.96,0.885223,7.90619,10000,
32.0972,37.4557,587.448,0.887332,7.91208,10000,
32.6408,37.5417,587.402,0.887903,7.89754,10000,
33.2337,37.547,587.524,0.888393,7.89966,10000,
33.7768,37.7087,586.716,0.889639,7.80425,10000,
34.3691,37.3174,588.47,0.890646,7.94373,10000,
34.9611,37.7087,587.555,0.891542,7.84531,10000,
35.5529,37.2379,588.913,0.892236,7.95428,10000,
36.095,37.5651,589.02,0.892446,7.95999,10000,
36.6863,37.0434,589.615,0.896479,7.93913,10000,
