ProDataCSV

Title: Tue Apr 28 11:31:33 2026 28.4828C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,28.334,-3.3762,418.732,0.0884943,8.00582,10000,
239,28.334,-4.16021,419.876,0.0927053,7.96983,10000,
238,28.334,-5.04131,421.158,0.0971916,7.93969,10000,
237,28.3836,-5.62011,423.248,0.100143,7.94457,10000,
236,28.3836,-6.73958,425.781,0.103416,7.92313,10000,
235,28.3836,-8.06082,429.688,0.112428,7.93917,10000,
234,28.3836,-9.84079,434.052,0.115279,7.94615,10000,
233,28.3836,-10.8976,438.675,0.119492,8.00324,10000,
232,28.3836,-12.4387,441.559,0.12835,7.99425,10000,
231,28.3836,-14.3098,444.473,0.138658,7.95889,10000,
230,28.3836,-15.654,446.152,0.148537,7.77492,10000,
229,28.4332,-17.2127,451.141,0.155959,7.94849,10000,
228,28.4332,-18.5707,454.987,0.163161,7.97555,10000,
227,28.4332,-19.699,458.252,0.170701,7.98132,10000,
226,28.4332,-20.8028,461.349,0.171663,7.96494,10000,
225,28.4332,-21.3661,465.103,0.182055,7.98472,10000,
224,28.4332,-21.9394,468.414,0.184159,7.99138,10000,
223,28.4828,-22.2933,471.237,0.190039,7.92941,10000,
222,28.4828,-22.1148,475.159,0.195915,7.98775,10000,
221,28.4828,-22.2982,478.409,0.205638,7.96537,10000,
220,28.4828,-21.6245,481.354,0.209714,7.96414,10000,
219,28.4828,-21.1765,484.619,0.216787,7.96071,10000,
218,28.4828,-20.6434,487.854,0.222394,7.94939,10000,
217,28.5324,-20.5155,491.425,0.230398,7.98405,10000,
216,28.5324,-20.1793,493.622,0.239454,7.92924,10000,
215,28.5324,-19.9648,496.964,0.247147,7.94398,10000,
214,28.5324,-20.2145,500.397,0.257774,7.98168,10000,
213,28.5324,-20.3359,501.877,0.269631,7.93142,10000,
212,28.5324,-20.6117,503.571,0.281185,7.8777,10000,
211,28.5324,-20.9505,505.707,0.297011,7.93273,10000,
210,28.582,-21.9531,508.255,0.311171,7.96576,10000,
209,28.582,-21.438,510.803,0.330022,7.96678,10000,
208,28.582,-20.9283,513.351,0.349385,7.94963,10000,
207,28.582,-19.2112,516.617,0.373407,7.96919,10000,
206,28.582,-16.5669,520.111,0.398199,7.95658,10000,
205,28.582,-13.4804,523.926,0.427343,7.96329,10000,
204,28.6316,-9.84989,528,0.45956,7.92564,10000,
203,28.582,-4.75148,533.615,0.494067,7.96518,10000,
202,28.6316,0.498704,539.673,0.533859,7.94002,10000,
201,28.6316,6.86786,546.936,0.579779,7.89944,10000,
200,28.6316,13.5531,556.351,0.631982,7.92137,10000,
199,28.6316,20.5937,563.965,0.688726,7.84375,10000,
198,28.6316,27.9344,571.259,0.750149,7.95249,10000,
197,28.6316,33.9489,577.911,0.812545,7.94065,10000,
196,28.6316,38.2364,586.075,0.877813,7.96041,10000,
195,28.6811,41.1729,593.384,0.941688,7.9175,10000,
194,28.6811,43.1709,601.059,1.00587,7.91869,10000,
193,28.6811,43.5027,609.329,1.06821,7.90989,10000,
192,28.6811,43.3156,617.889,1.12878,7.9375,10000,
191,28.6811,42.9741,626.358,1.19173,7.92533,10000,
190,28.7307,39.5379,631.622,1.25767,7.92772,10000,
