ProDataCSV

Title: Tue Apr 28 11:31:33 2026 235nm

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Temperature,124 temperatures, from 20.3693 to 90.3866degrees Celsius in stepped ramp mode.

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
20.3693,-8.09655,429.657,0.110437,7.97357,10000,
20.3693,-8.22252,429.535,0.109868,7.97571,10000,
20.5692,-8.03394,429.657,0.111615,7.95197,10000,
20.9189,-7.79691,429.23,0.110953,7.93507,10000,
21.3183,-8.13936,429.733,0.11115,7.96568,10000,
21.7676,-8.17362,429.733,0.110427,7.97894,10000,
22.3163,-8.10726,428.986,0.110448,7.92767,10000,
22.8648,-7.8667,429.703,0.111182,7.96302,10000,
23.3632,-7.8591,429.626,0.110457,7.97112,10000,
23.9111,-8.11196,429.825,0.112272,7.95132,10000,
24.5085,-7.99656,429.977,0.112041,7.96591,10000,
25.0559,-8.15437,429.718,0.112258,7.94434,10000,
25.6029,-8.17009,430.191,0.110867,8.00199,10000,
26.1497,-7.93752,430.069,0.111801,7.97652,10000,
26.6962,-8.2804,429.993,0.111776,7.9718,10000,
27.2424,-8.01973,429.55,0.112403,7.93031,10000,
27.838,-8.11263,429.749,0.112879,7.93507,10000,
28.3836,-8.06082,429.688,0.112428,7.93917,10000,
28.9786,-8.01924,430.252,0.112302,7.97974,10000,
29.5237,-8.08332,430.008,0.112905,7.95214,10000,
30.0686,-8.20882,430.42,0.114106,7.95799,10000,
30.6627,-7.85431,430.374,0.113856,7.95946,10000,
31.207,-8.15261,430.573,0.114493,7.96119,10000,
31.8005,-7.94875,430.511,0.114266,7.96122,10000,
32.3443,-8.16335,431.076,0.115521,7.97622,10000,
32.9373,-7.91182,430.634,0.114753,7.96053,10000,
33.53,-7.90136,430.679,0.114491,7.96843,10000,
34.1224,-8.15066,430.588,0.114777,7.957,10000,
34.6651,-7.97638,431.122,0.114826,7.99208,10000,
35.257,-8.18642,431.091,0.115598,7.97585,10000,
35.8486,-8.09894,431.427,0.115614,7.99812,10000,
36.3907,-7.92334,430.862,0.116093,7.95137,10000,
36.9818,-8.25811,430.71,0.117208,7.92077,10000,
37.5726,-7.89457,431.183,0.118224,7.93389,10000,
38.114,-8.06723,431.244,0.118384,7.93504,10000,
38.7043,-7.94476,431.351,0.118778,7.93498,10000,
39.2944,-8.05298,431.717,0.119114,7.95326,10000,
39.8842,-7.94541,431.717,0.11875,7.95994,10000,
40.4738,-8.06811,431.488,0.11853,7.94867,10000,
41.0632,-7.82835,431.702,0.119738,7.94084,10000,
41.6032,-8.13591,431.595,0.119754,7.93343,10000,
42.1922,-8.03792,431.9,0.119098,7.96577,10000,
42.7808,-7.57064,431.32,0.117287,7.96021,10000,
43.3693,-8.08733,431.519,0.118029,7.95989,10000,
43.9575,-7.9329,432.22,0.11871,7.9943,10000,
44.5456,-7.68194,431.061,0.118038,7.92912,10000,
45.1334,-8.07427,431.534,0.118465,7.95292,10000,
45.721,-8.03202,432.098,0.118697,7.98638,10000,
46.3084,-8.2256,431.229,0.118248,7.9365,10000,
