ProDataCSV

Title: Tue Apr 28 11:31:33 2026 77.5095C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,77.3883,-3.54725,423.66,0.107404,8.02031,10000,
239,77.3883,-3.86719,423.66,0.109354,7.94041,10000,
238,77.3883,-4.62568,425.613,0.114301,7.94598,10000,
237,77.3883,-5.25203,428.223,0.118749,7.95328,10000,
236,77.4368,-6.39041,428.223,0.12097,7.77326,10000,
235,77.4368,-7.42416,435.135,0.130153,7.97596,10000,
234,77.3883,-8.1676,438.507,0.135506,7.9254,10000,
233,77.4368,-9.52107,441.101,0.136758,7.98435,10000,
232,77.4368,-10.4796,443.878,0.145371,7.95486,10000,
231,77.3398,-11.8978,445.496,0.155725,7.7648,10000,
230,77.4368,-12.7441,449.814,0.163026,7.90686,10000,
229,77.4368,-14.2467,453.674,0.169747,7.95626,10000,
228,77.4368,-14.8002,457.352,0.178813,7.9207,10000,
227,77.4852,-15.358,460.815,0.184924,7.962,10000,
226,77.4852,-16.427,463.943,0.185437,7.9481,10000,
225,77.4852,-16.6017,468.079,0.196256,7.98304,10000,
224,77.4852,-16.8487,471.268,0.199961,7.94122,10000,
223,77.4852,-16.9263,474.67,0.204729,7.93915,10000,
222,77.4852,-17.1453,478.378,0.210782,7.96707,10000,
221,77.4852,-17.0383,481.842,0.219683,7.96793,10000,
220,77.5337,-16.4116,485.428,0.225672,7.9709,10000,
219,77.5337,-16.4792,489.166,0.235743,7.93683,10000,
218,77.5337,-16.1535,492.996,0.238986,8.00006,10000,
217,77.5337,-16.0931,495.819,0.247718,7.96149,10000,
216,77.5337,-16.2242,499.649,0.258966,7.96607,10000,
215,77.5822,-16.311,501.907,0.268891,7.98048,10000,
214,77.5822,-16.0575,503.662,0.282349,7.93416,10000,
213,77.5822,-16.3263,506.577,0.295956,8.00988,10000,
212,77.5822,-16.7275,509.338,0.311261,7.99231,10000,
211,77.5822,-17.5951,511.612,0.331382,7.96367,10000,
210,77.5822,-17.7779,514.938,0.349296,7.98548,10000,
209,77.5822,-17.235,518.509,0.373394,7.96748,10000,
208,77.6307,-17.4659,522.461,0.399793,7.92857,10000,
207,77.6307,-16.0754,527.817,0.432418,7.9415,10000,
206,77.6307,-14.4019,533.005,0.462529,7.93199,10000,
205,77.6307,-12.3037,540.253,0.501685,7.97812,10000,
204,77.6307,-8.39629,547.409,0.541556,7.96937,10000,
203,77.6307,-5.15297,555.908,0.585648,7.94702,10000,
202,77.6307,-0.912215,564.362,0.63521,7.92121,10000,
201,77.6792,3.90665,570.526,0.689789,7.90324,10000,
200,77.6792,8.67371,578.369,0.749172,7.97598,10000,
199,77.6792,14.2745,586.639,0.815538,7.93388,10000,
198,77.6792,19.1977,596.573,0.884453,7.91073,10000,
197,77.6792,24.3847,608.704,0.957124,7.94182,10000,
196,77.7276,27.9747,622.528,1.03184,7.94824,10000,
195,77.7276,30.5201,630.997,1.10703,7.93741,10000,
194,77.7276,30.9037,639.526,1.18651,7.96372,10000,
193,77.7276,32.0297,649.414,1.26774,7.94365,10000,
192,77.7276,31.882,660.843,1.35148,7.93012,10000,
191,77.7276,31.5498,674.53,1.44306,7.79482,10000,
190,77.7761,29.5683,692.978,1.55178,7.92167,10000,
