ProDataCSV

Title: Tue Apr 28 11:31:33 2026 37.1049C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,36.9818,-3.27537,420.013,0.0931215,8.01654,10000,
239,36.9818,-4.17093,420.609,0.0967748,7.94936,10000,
238,36.9818,-4.78581,422.47,0.100826,7.96862,10000,
237,36.9818,-6.01013,424.286,0.10382,7.95139,10000,
236,36.9818,-6.80811,427.063,0.107182,7.9436,10000,
235,36.9818,-8.25811,430.71,0.117208,7.92077,10000,
234,36.9818,-9.39588,435.806,0.120414,7.96611,10000,
233,37.031,-10.9281,439.255,0.123008,8.011,10000,
232,37.031,-12.096,441.803,0.132266,7.95154,10000,
231,37.031,-14.3228,445.236,0.14234,7.97837,10000,
230,37.031,-15.2805,448.639,0.151837,7.98579,10000,
229,37.031,-16.7291,452.194,0.160384,7.9767,10000,
228,37.031,-18.4014,455.2,0.166753,7.93097,10000,
227,37.031,-19.3096,459.076,0.174029,7.99877,10000,
226,37.031,-20.1853,462.143,0.174524,7.98535,10000,
225,37.0803,-21.0061,465.82,0.184294,8.00689,10000,
224,37.0803,-21.5237,468.796,0.188045,7.95255,10000,
223,37.0803,-21.5492,472.534,0.192263,7.99523,10000,
222,37.0803,-22.0924,474.991,0.198392,7.92901,10000,
221,37.0803,-21.5076,478.806,0.206956,7.97169,10000,
220,37.1295,-20.8115,481.979,0.213157,7.94773,10000,
219,37.1295,-20.8438,485.321,0.220191,7.94913,10000,
218,37.1295,-20.5698,488.51,0.224609,7.95493,10000,
217,37.1295,-19.8419,491.821,0.233047,7.96253,10000,
216,37.1295,-19.7215,494.659,0.241606,7.95907,10000,
215,37.1295,-19.291,497.467,0.249951,7.92545,10000,
214,37.1295,-19.8426,500.748,0.260837,7.96981,10000,
213,37.1787,-20.0067,502.38,0.272064,7.9488,10000,
212,37.1787,-20.1756,504.059,0.284223,7.88061,10000,
211,37.1787,-20.5788,506.409,0.300944,7.94212,10000,
210,37.1787,-21.0397,508.82,0.316181,7.93722,10000,
209,37.1787,-20.9645,511.795,0.335002,7.98252,10000,
208,37.1787,-20.0611,514.038,0.354962,7.91925,10000,
207,37.1787,-18.506,517.883,0.379812,7.97823,10000,
206,37.228,-16.3097,521.408,0.404724,7.96098,10000,
205,37.228,-13.4069,525.879,0.435578,7.9903,10000,
204,37.228,-8.77015,529.846,0.469159,7.91055,10000,
203,37.228,-4.32117,535.294,0.505244,7.89835,10000,
202,37.228,0.984859,542.404,0.544498,7.95498,10000,
201,37.2772,6.93435,550.842,0.591555,7.96254,10000,
200,37.2772,14.4169,560.272,0.644522,7.94984,10000,
199,37.2772,20.5075,567.047,0.703947,7.93855,10000,
198,37.2772,27.478,573.914,0.766681,7.94068,10000,
197,37.2772,32.5895,581.497,0.831016,7.96026,10000,
196,37.2772,36.8367,589.996,0.899316,7.92101,10000,
195,37.2772,40.1759,598.022,0.962342,7.9248,10000,
194,37.3265,41.659,606.796,1.02759,7.96003,10000,
193,37.3265,42.9567,615.402,1.09107,7.92122,10000,
192,37.3265,42.918,625.534,1.15703,7.95361,10000,
191,37.3265,41.1436,631.271,1.22346,7.93369,10000,
190,37.3265,39.709,637.283,1.2962,7.84878,10000,
