ProDataCSV

Title: Tue Apr 28 11:31:33 2026 234nm

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Temperature,124 temperatures, from 20.3693 to 90.4351degrees Celsius in stepped ramp mode.

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
20.3693,-9.16201,433.731,0.112985,7.96717,10000,
20.3693,-9.67239,433.594,0.113066,7.95665,10000,
20.5692,-9.20369,433.701,0.114056,7.94553,10000,
20.8689,-9.71032,433.304,0.114277,7.9155,10000,
21.3183,-9.35606,433.701,0.113671,7.95258,10000,
21.7676,-9.26553,433.502,0.114052,7.93261,10000,
22.3163,-9.27839,433.594,0.113782,7.94354,10000,
22.8648,-9.24877,434.082,0.114557,7.96136,10000,
23.413,-9.42166,433.167,0.113686,7.91727,10000,
23.9609,-9.32366,434.402,0.114383,7.98554,10000,
24.5085,-9.17255,434.036,0.114243,7.96412,10000,
25.0559,-9.30997,433.777,0.114651,7.93965,10000,
25.6029,-9.41474,434.326,0.114648,7.97567,10000,
26.1497,-9.21244,434.113,0.114641,7.96181,10000,
26.6962,-9.25879,433.792,0.115429,7.92645,10000,
27.2424,-9.2494,434.265,0.11457,7.97311,10000,
27.838,-9.23085,434.158,0.114573,7.96606,10000,
28.3836,-9.84079,434.052,0.115279,7.94615,10000,
28.9786,-9.37803,434.036,0.116368,7.92524,10000,
29.5237,-9.30827,434.296,0.115927,7.95022,10000,
30.0686,-9.1563,435.013,0.11612,7.99348,10000,
30.6627,-9.39405,434.494,0.115646,7.96834,10000,
31.2565,-9.33552,434.54,0.116181,7.9615,10000,
31.8005,-9.4028,434.845,0.117558,7.95616,10000,
32.3937,-9.50339,435.013,0.118196,7.95538,10000,
32.9373,-9.22088,434.998,0.117402,7.96894,10000,
33.53,-9.42004,434.647,0.118188,7.93173,10000,
34.1224,-9.21604,431.915,0.117521,7.76629,10000,
34.6651,-9.52111,434.219,0.117519,7.91618,10000,
35.257,-9.43094,435.12,0.119067,7.94635,10000,
35.8486,-9.38653,434.875,0.117966,7.95067,10000,
36.3907,-9.27788,435.364,0.118516,7.97229,10000,
36.9818,-9.39588,435.806,0.120414,7.96611,10000,
37.5726,-9.11745,435.776,0.120377,7.96482,10000,
38.1632,-9.26258,435.501,0.120547,7.94395,10000,
38.7535,-8.85999,435.928,0.120843,7.96612,10000,
39.2944,-9.21064,435.76,0.121846,7.93692,10000,
39.8842,-9.39576,435.516,0.120437,7.94695,10000,
40.4738,-9.11585,432.877,0.121202,7.76273,10000,
41.0632,-9.38714,435.699,0.122655,7.91824,10000,
41.6523,-9.33008,436.234,0.121895,7.96649,10000,
42.2412,-9.24203,436.279,0.121339,7.97965,10000,
42.7808,-9.38319,435.699,0.11986,7.96937,10000,
43.3693,-9.30211,436.264,0.120876,7.98717,10000,
43.9575,-9.43317,435.867,0.121337,7.95312,10000,
44.5456,-9.32839,435.791,0.121104,7.95248,10000,
45.1334,-9.45086,435.806,0.121361,7.94875,10000,
45.721,-9.22877,435.974,0.12055,7.97445,10000,
46.3084,-9.38228,435.791,0.121118,7.95222,10000,
46.8956,-9.1485,435.623,0.121641,7.93183,10000,
47.4826,-9.28218,435.654,0.121418,7.93788,10000,
48.0694,-9.42425,436.05,0.122007,7.95266,10000,
48.6071,-9.31642,436.92,0.123709,7.97731,10000,
49.1936,-9.16018,436.295,0.123064,7.949,10000,
49.7798,-9.41548,437.149,0.123992,7.98678,10000,
50.4147,-9.13134,436.401,0.123294,7.95165,10000,
51.0006,-9.39995,436.737,0.122782,7.9826,10000,
51.5375,-9.23647,436.386,0.12286,7.95861,10000,
52.1231,-9.20332,436.417,0.123084,7.95647,10000,
52.7572,-8.97212,436.371,0.123768,7.94101,10000,
53.3424,-9.20326,435.699,0.122321,7.92432,10000,
53.8788,-9.10366,436.722,0.122781,7.98164,10000,
54.5124,-9.0891,436.279,0.124943,7.91371,10000,
55.0972,-9.25272,436.646,0.122766,7.977,10000,
55.6818,-8.97673,436.462,0.123551,7.95085,10000,
56.2175,-9.11847,436.432,0.123891,7.94267,10000,
56.8506,-9.12984,436.478,0.123365,7.95524,10000,
57.4348,-9.29824,436.554,0.124031,7.94795,10000,
58.0188,-9.27185,436.92,0.124236,7.96763,10000,
58.6027,-9.19593,436.493,0.124001,7.94457,10000,
59.1865,-9.17446,437.149,0.126842,7.93453,10000,
59.7702,-9.01484,436.951,0.125425,7.9478,10000,
60.3538,-9.15864,437.485,0.128246,7.93022,10000,
60.9372,-9.0855,437.225,0.125186,7.96973,10000,
61.5206,-8.95876,436.981,0.125236,7.95321,10000,
62.1038,-8.98206,436.92,0.12503,7.95308,10000,
62.687,-9.21714,436.966,0.125324,7.95062,10000,
63.27,-9.18754,437.073,0.125469,7.95479,10000,
63.9015,-9.1117,437.775,0.126395,8.00008,10000,
64.4844,-8.87896,437.241,0.12603,7.95523,10000,
65.0671,-9.13089,436.829,0.125899,7.93134,10000,
65.6498,-8.91513,437.378,0.126995,7.94631,10000,
66.2324,-8.95123,437.241,0.12686,7.94003,10000,
66.8149,-9.0879,437.973,0.130069,7.95776,10000,
67.3973,-8.88597,437.5,0.128113,7.93363,10000,
67.9797,-9.10773,437.744,0.129395,7.94114,10000,
68.562,-8.8288,438.08,0.128217,8.00532,10000,
69.1928,-8.72641,438.156,0.128754,8.00509,10000,
69.775,-9.04425,437.866,0.128695,7.96942,10000,
70.3571,-8.60203,438.477,0.129524,8.03145,10000,
70.9392,-8.92816,437.958,0.129449,7.96719,10000,
71.5212,-8.75498,438.416,0.130641,8.00311,10000,
72.1032,-8.83767,437.973,0.130523,7.94944,10000,
72.6851,-8.91945,438.202,0.130774,7.97371,10000,
73.3156,-8.50764,438.141,0.130797,7.96561,10000,
73.8974,-8.70269,438.08,0.1312,7.95052,10000,
74.4793,-8.5097,438.263,0.130623,7.98419,10000,
75.0611,-8.63257,438.629,0.131593,8.0125,10000,
75.6429,-8.62474,438.431,0.131808,7.98356,10000,
76.2247,-8.33397,438.477,0.132915,7.96899,10000,
76.8065,-8.36294,438.293,0.132613,7.95154,10000,
77.3883,-8.1676,438.507,0.135506,7.9254,10000,
78.0185,-8.11775,438.934,0.133904,8.00819,10000,
78.6003,-8.16894,438.507,0.134086,7.95135,10000,
79.1821,-7.91992,438.919,0.133274,8.01791,10000,
79.7638,-7.71332,438.522,0.13365,7.96125,10000,
80.3456,-7.65524,438.812,0.135529,7.96306,10000,
80.9759,-7.36778,438.538,0.134831,7.94154,10000,
81.5577,-7.14563,438.889,0.135188,7.97884,10000,
82.1395,-6.741,438.766,0.135478,7.95829,10000,
82.7214,-6.53174,439.056,0.13517,8.00014,10000,
83.3033,-6.21623,438.995,0.135711,7.98255,10000,
83.8852,-5.80319,439.163,0.136364,7.99148,10000,
84.4671,-5.7453,439.102,0.136119,7.98837,10000,
85.0976,-5.38982,439.209,0.136474,7.99514,10000,
85.6797,-5.12751,439.087,0.13731,7.9646,10000,
86.2618,-4.58735,439.468,0.137726,8.00434,10000,
86.8439,-4.76662,438.873,0.136898,7.94559,10000,
87.4746,-4.83619,439.011,0.136134,7.97669,10000,
88.0569,-4.30204,438.248,0.137794,7.85155,10000,
88.6392,-4.30039,439.423,0.137945,7.99463,10000,
89.2216,-4.18038,439.362,0.138659,7.97392,10000,
89.8526,-4.16627,439.331,0.139014,7.96363,10000,
90.4351,-4.07444,439.529,0.138991,7.98861,10000,
