ProDataCSV

Title: Tue Apr 28 11:31:33 2026 20.4193C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,20.3693,-3.21695,418.564,0.087028,8.0202,10000,
239,20.3693,-4.01697,418.564,0.0893755,7.93302,10000,
238,20.3693,-4.71518,421.005,0.0939591,7.98778,10000,
237,20.3693,-5.70669,421.005,0.0982239,7.81814,10000,
236,20.3693,-6.91495,425.735,0.100954,7.96495,10000,
235,20.3693,-8.22252,429.535,0.109868,7.97571,10000,
234,20.3693,-9.67239,433.594,0.113066,7.95665,10000,
233,20.3693,-10.9337,438.187,0.117407,7.98009,10000,
232,20.3693,-12.4813,441.208,0.125606,8.00249,10000,
231,20.3693,-14.4924,444.351,0.136435,7.98569,10000,
230,20.3693,-16.068,447.388,0.146257,7.95162,10000,
229,20.3693,-17.7586,450.836,0.153264,7.96591,10000,
228,20.3693,-19.4286,454.361,0.161295,7.94723,10000,
227,20.3693,-20.5776,457.855,0.169243,7.96999,10000,
226,20.3693,-21.0421,460.907,0.170824,7.93945,10000,
225,20.3693,-21.9895,464.172,0.179719,7.94486,10000,
224,20.3693,-22.4337,467.682,0.183109,7.94792,10000,
223,20.3693,-22.5069,471.329,0.187773,7.97848,10000,
222,20.3693,-22.5581,474.67,0.193979,7.98433,10000,
221,20.4193,-22.5846,477.264,0.202999,7.92523,10000,
220,20.3693,-22.1117,481.125,0.208621,7.96703,10000,
219,20.3693,-21.8877,484.161,0.215743,7.94654,10000,
218,20.3693,-21.3368,487.793,0.220282,7.98383,10000,
217,20.3693,-20.9681,490.753,0.229689,7.95097,10000,
216,20.3693,-20.5048,493.53,0.236454,7.97805,10000,
215,20.3693,-20.3183,496.292,0.243442,7.96793,10000,
214,20.4193,-20.5199,499.481,0.255472,7.9404,10000,
213,20.4193,-20.5348,501.816,0.265836,7.99344,10000,
212,20.4193,-20.6835,503.815,0.277907,7.96672,10000,
211,20.4193,-21.5464,505.722,0.295502,7.96214,10000,
210,20.4193,-21.5746,507.324,0.308164,7.91558,10000,
209,20.4193,-22.0829,510.223,0.325534,7.98588,10000,
208,20.4193,-21.6886,512.604,0.344942,7.95221,10000,
207,20.4193,-19.2804,515.305,0.368468,7.92665,10000,
206,20.4193,-16.6718,519.104,0.391541,7.981,10000,
205,20.4193,-13.387,522.415,0.419222,7.97179,10000,
204,20.4193,-9.42123,526.138,0.450208,7.93158,10000,
203,20.4193,-4.91173,529.099,0.48338,7.77998,10000,
202,20.4193,0.608462,536.789,0.521288,7.9425,10000,
201,20.4193,7.09694,543.9,0.565018,7.94578,10000,
200,20.4193,13.2105,552.063,0.615888,7.92386,10000,
199,20.4193,20.9021,562.103,0.672919,7.92298,10000,
198,20.4193,27.6458,568.161,0.732209,7.9276,10000,
197,20.4193,34.0981,574.844,0.795765,7.92855,10000,
196,20.4193,38.6741,581.955,0.857979,7.93356,10000,
195,20.4193,41.329,588.562,0.91907,7.91011,10000,
194,20.4193,43.6066,595.917,0.982117,7.93835,10000,
193,20.4193,45.0208,603.104,1.04079,7.94563,10000,
192,20.4193,44.5072,610.138,1.10057,7.91319,10000,
191,20.4693,43.722,619.171,1.16034,7.94935,10000,
190,20.4193,40.4961,626.19,1.22342,7.90401,10000,
