ProDataCSV

Title: Tue Apr 28 11:31:33 2026 26.249C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,26.1,-3.09316,418.716,0.088752,7.99992,10000,
239,26.1,-4.03173,419.907,0.0922603,7.98027,10000,
238,26.1497,-5.14013,421.158,0.0962179,7.95751,10000,
237,26.1497,-5.49278,423.157,0.0989476,7.95988,10000,
236,26.1497,-6.77345,423.157,0.102453,7.75675,10000,
235,26.1497,-7.93752,430.069,0.111801,7.97652,10000,
234,26.1497,-9.21244,434.113,0.114641,7.96181,10000,
233,26.1497,-11.1281,438.629,0.119409,7.999,10000,
232,26.1994,-12.6665,441.376,0.129017,7.96002,10000,
231,26.1994,-14.4416,444.443,0.13854,7.95755,10000,
230,26.1497,-15.9775,447.556,0.147321,7.95055,10000,
229,26.1994,-17.496,450.912,0.154444,7.95229,10000,
228,26.1994,-18.8373,455.231,0.1625,8.01206,10000,
227,26.1994,-19.8819,458.374,0.171092,7.98583,10000,
226,26.1994,-20.6169,461.319,0.170345,7.98634,10000,
225,26.1994,-21.5424,464.6,0.180069,7.9765,10000,
224,26.1994,-22.0572,467.941,0.184073,7.9525,10000,
223,26.2491,-22.5969,471.68,0.188646,7.99146,10000,
222,26.2491,-22.4224,474.716,0.194254,7.98293,10000,
221,26.2491,-21.8914,477.692,0.202919,7.95981,10000,
220,26.2491,-21.7971,481.064,0.208666,7.96163,10000,
219,26.2491,-21.558,484.665,0.218146,7.93915,10000,
218,26.2491,-21.3185,487.534,0.221789,7.93786,10000,
217,26.2987,-20.7981,490.814,0.230218,7.94548,10000,
216,26.2987,-20.6251,493.652,0.238486,7.94899,10000,
215,26.2987,-20.3899,496.567,0.246773,7.92495,10000,
214,26.2987,-20.079,500.32,0.256575,7.99404,10000,
213,26.2987,-20.4587,501.785,0.267177,7.965,10000,
212,26.2987,-20.1761,504.227,0.279531,7.9863,10000,
211,26.2987,-21.3575,505.676,0.295296,7.96056,10000,
210,26.3484,-21.437,508.163,0.310647,7.96505,10000,
209,26.3484,-21.9264,510.727,0.329109,7.97524,10000,
208,26.3484,-21.1022,513.367,0.348217,7.97264,10000,
207,26.3484,-19.0637,516.403,0.371753,7.978,10000,
206,26.3484,-16.3628,519.333,0.39637,7.91487,10000,
205,26.3484,-12.9888,523.59,0.424728,7.98026,10000,
204,26.3484,-9.24404,527.679,0.455372,7.9741,10000,
203,26.3981,-5.08654,532.318,0.489992,7.93176,10000,
202,26.3981,0.495716,538.849,0.530199,7.94263,10000,
201,26.3981,6.25465,546.616,0.574147,7.9791,10000,
200,26.3981,13.479,555.176,0.624767,7.97445,10000,
199,26.3981,20.5826,563.568,0.683998,7.88043,10000,
198,26.4478,27.3573,570.374,0.744875,7.94967,10000,
197,26.4478,33.738,576.828,0.806346,7.94281,10000,
196,26.4478,37.4806,584.503,0.870791,7.94243,10000,
195,26.4478,41.401,591.873,0.934193,7.92502,10000,
194,26.4478,42.7256,599.197,0.99784,7.91795,10000,
193,26.4478,44.7927,607.59,1.05909,7.94933,10000,
192,26.4478,44.0018,615.067,1.121,7.88744,10000,
191,26.4975,43.3896,625.168,1.18214,7.95121,10000,
190,26.4975,40.613,630.234,1.24811,7.9413,10000,
