ProDataCSV

Title: Tue Apr 28 11:31:33 2026 63.9744C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,63.8044,-3.59567,421.234,0.100154,7.97734,10000,
239,63.8529,-4.14695,421.234,0.104375,7.85666,10000,
238,63.8529,-4.88136,421.234,0.106623,7.77457,10000,
237,63.8529,-5.75924,426.376,0.111891,7.95096,10000,
236,63.8529,-6.94604,429.153,0.114846,7.94705,10000,
235,63.8529,-8.00873,433.167,0.124989,7.9418,10000,
234,63.9015,-9.1117,437.775,0.126395,8.00008,10000,
233,63.9015,-10.4814,439.972,0.12939,7.98224,10000,
232,63.9015,-11.7874,443.069,0.138756,7.98211,10000,
231,63.9015,-13.442,446.457,0.148722,7.99862,10000,
230,63.9015,-14.2656,449.219,0.157173,7.95039,10000,
229,63.9015,-15.7335,452.545,0.163815,7.94992,10000,
228,63.9015,-16.817,456.421,0.172184,7.95163,10000,
227,63.9015,-17.5634,459.778,0.179976,7.95587,10000,
226,63.9501,-18.3737,463.409,0.180249,7.99531,10000,
225,63.9501,-19.0358,466.568,0.190777,7.95319,10000,
224,63.9501,-19.397,470.139,0.192925,7.97627,10000,
223,63.9501,-19.8065,473.083,0.198721,7.92159,10000,
222,63.9501,-19.4287,476.776,0.20378,7.97108,10000,
221,63.9501,-19.7043,480.179,0.214066,7.94601,10000,
220,63.9987,-19.0654,483.994,0.219303,7.98359,10000,
219,63.9987,-19.0198,486.969,0.226894,7.94431,10000,
218,63.9987,-18.2101,490.646,0.231101,7.98439,10000,
217,63.9987,-18.6445,493.729,0.241316,7.93992,10000,
216,63.9987,-17.8904,496.948,0.250465,7.94753,10000,
215,63.9987,-18.0305,499.924,0.258107,7.93401,10000,
214,63.9987,-17.8493,501.755,0.27031,7.92202,10000,
213,64.0472,-18.1876,504.395,0.283961,7.97409,10000,
212,64.0472,-18.891,506.958,0.29726,7.98066,10000,
211,64.0472,-19.2866,509.201,0.314726,8.00583,10000,
210,64.0472,-19.7287,510.818,0.333054,7.84874,10000,
209,64.0472,-19.4344,514.511,0.355266,7.89714,10000,
208,64.0472,-19.222,518.539,0.378802,7.93712,10000,
207,64.0472,-17.619,522.858,0.406696,7.96341,10000,
206,64.0472,-15.4495,527.786,0.436196,7.96733,10000,
205,64.0958,-12.1195,533.005,0.471257,7.95354,10000,
204,64.0958,-8.38019,539.291,0.50938,7.94836,10000,
203,64.0958,-4.22278,546.432,0.549842,7.93937,10000,
202,64.1444,0.433689,554.947,0.595119,7.92624,10000,
201,64.0958,6.50931,563.858,0.64655,7.90515,10000,
200,64.1444,12.4066,570.343,0.705841,7.91026,10000,
199,64.1444,18.2425,577.454,0.767698,7.91867,10000,
198,64.1444,24.2914,586.548,0.833978,7.96331,10000,
197,64.1444,29.5396,595.917,0.903005,7.9376,10000,
196,64.1929,33.2542,607.086,0.974855,7.92045,10000,
195,64.1929,35.7647,618.622,1.04472,7.93316,10000,
194,64.1929,37.5092,628.22,1.11925,7.93274,10000,
193,64.1929,38.607,634.644,1.19276,7.83633,10000,
192,64.1929,38.005,643.6,1.26808,7.92425,10000,
191,64.1929,36.5693,654.48,1.35085,7.91344,10000,
190,64.2415,35.1023,668.823,1.44419,7.93656,10000,
