ProDataCSV

Title: Tue Apr 28 11:31:33 2026 190nm

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Temperature,124 temperatures, from 20.3193 to 90.7264degrees Celsius in stepped ramp mode.

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
20.3193,41.9966,626.572,1.22336,7.9525,10000,
20.4193,40.4961,626.19,1.22342,7.90401,10000,
20.769,41.6797,626.205,1.2228,7.91727,10000,
21.1686,41.3208,626.678,1.22458,7.94335,10000,
21.6178,40.9386,627.121,1.22673,7.95873,10000,
22.0669,41.4078,627.289,1.22773,7.9609,10000,
22.6155,41.5444,627.35,1.23198,7.89088,10000,
23.2137,40.2948,627.945,1.23287,7.94705,10000,
23.7119,41.079,628.036,1.23512,7.91696,10000,
24.2596,41.5795,628.204,1.23781,7.88827,10000,
24.8569,40.4688,628.906,1.23959,7.93992,10000,
25.3543,41.0973,629.41,1.24226,7.95101,10000,
25.9509,40.3014,629.547,1.24399,7.93564,10000,
26.4975,40.613,630.234,1.24811,7.9413,10000,
27.0438,40.5111,630.096,1.24955,7.89899,10000,
27.5898,41.2264,630.966,1.25206,7.95452,10000,
28.1852,41.3397,631.165,1.25584,7.90838,10000,
28.7307,39.5379,631.622,1.25767,7.92772,10000,
29.276,40.5737,631.897,1.26184,7.88317,10000,
29.8705,40.9595,632.584,1.2639,7.92347,10000,
30.4152,40.7138,633.27,1.26688,7.94626,10000,
31.0091,40.7112,633.621,1.26921,7.94299,10000,
31.5532,39.4465,633.469,1.27142,7.88574,10000,
32.1466,40.6874,634.262,1.2759,7.89214,10000,
32.6902,39.7464,634.552,1.27751,7.89467,10000,
33.2337,41.1149,635.33,1.27881,7.95597,10000,
33.8756,39.6156,635.437,1.27999,7.94609,10000,
34.4678,40.5257,635.986,1.28298,7.95094,10000,
35.0104,39.5942,635.849,1.28388,7.91966,10000,
35.6021,39.9871,635.986,1.28645,7.88782,10000,
36.1443,40.0499,636.856,1.28909,7.93268,10000,
36.7355,38.7911,637.222,1.29279,7.90419,10000,
37.3265,39.709,637.283,1.2962,7.84878,10000,
37.9171,39.5129,638.733,1.3005,7.92199,10000,
38.5075,38.9296,638.702,1.30447,7.84678,10000,
39.0977,39.2186,640.091,1.30809,7.92352,10000,
39.6385,39.0941,640.839,1.31247,7.91959,10000,
40.2282,39.2636,641.891,1.31622,7.95696,10000,
40.8177,39.4506,641.281,1.31974,7.83214,10000,
41.4069,38.4122,642.197,1.32101,7.89996,10000,
41.9468,38.7563,641.541,1.32249,7.80829,10000,
42.5356,39.0616,642.761,1.32421,7.8976,10000,
43.1241,38.7834,643.646,1.3267,7.93901,10000,
43.7125,39.117,643.875,1.32828,7.9324,10000,
44.3006,38.7432,644.775,1.33203,7.95129,10000,
44.8885,38.9904,643.723,1.33352,7.82263,10000,
45.4762,39.0024,645.309,1.33682,7.91512,10000,
46.0637,39.8848,645.981,1.33894,7.94034,10000,
46.6509,40.2283,646.088,1.34129,7.90765,10000,
47.238,38.4358,647.369,1.34489,7.96259,10000,
47.776,38.6063,647.629,1.34951,7.90253,10000,
48.3627,38.5279,648.193,1.3512,7.92405,10000,
48.9492,38.5375,648.926,1.35419,7.93684,10000,
49.5356,37.9865,649.536,1.35808,7.92171,10000,
50.1217,37.6576,650.467,1.36206,7.93341,10000,
50.7565,38.1567,650.757,1.36404,7.92317,10000,
51.3423,36.9026,651.581,1.36705,7.94193,10000,
51.8791,37.4215,652.435,1.37179,7.93112,10000,
52.5133,37.8389,653.03,1.37523,7.92064,10000,
53.0499,37.3866,653.839,1.37685,7.96171,10000,
53.635,37.8243,652.618,1.37907,7.8151,10000,
