ProDataCSV

Title: Tue Apr 28 11:31:33 2026 69.2655C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,69.1443,-3.61867,422.379,0.101544,8.03553,10000,
239,69.1443,-4.25619,422.958,0.10513,7.96739,10000,
238,69.1443,-4.84679,423.63,0.109187,7.8991,10000,
237,69.1443,-5.58241,426.849,0.112913,7.96521,10000,
236,69.1928,-6.64666,426.849,0.116291,7.76421,10000,
235,69.1928,-7.93904,433.716,0.126515,7.94998,10000,
234,69.1928,-8.72641,438.156,0.128754,8.00509,10000,
233,69.1928,-10.2566,440.521,0.131873,8.00384,10000,
232,69.1928,-11.4749,443.253,0.14073,7.9673,10000,
231,69.1928,-12.8639,444.794,0.150826,7.7747,10000,
230,69.1928,-13.7105,449.783,0.159595,7.96631,10000,
229,69.1928,-15.1262,452.682,0.165474,7.93364,10000,
228,69.2413,-15.9799,457.153,0.174122,7.98743,10000,
227,69.2413,-17.0757,459.839,0.181532,7.93312,10000,
226,69.2413,-17.6521,463.608,0.182255,7.97632,10000,
225,69.2413,-18.6205,466.919,0.193474,7.93426,10000,
224,69.2898,-18.6617,470.795,0.195441,7.98488,10000,
223,69.2898,-18.5739,473.984,0.200427,7.96295,10000,
222,69.2898,-18.6988,477.249,0.206319,7.96143,10000,
221,69.2898,-18.4272,480.438,0.215149,7.94575,10000,
220,69.2898,-18.3644,483.688,0.220941,7.93126,10000,
219,69.2898,-18.166,487.762,0.228689,7.9676,10000,
218,69.2898,-18.2033,491.333,0.233922,7.97979,10000,
217,69.3383,-17.7808,495.041,0.244255,7.97353,10000,
216,69.2898,-17.5602,497.772,0.253038,7.95396,10000,
215,69.3383,-17.6269,500.671,0.261536,7.96104,10000,
214,69.3383,-17.8249,503.128,0.274917,8.00595,10000,
213,69.3383,-18.1078,505.295,0.288727,7.99322,10000,
212,69.3383,-17.9102,507.492,0.302037,7.95405,10000,
211,69.3383,-18.6514,509.75,0.321974,7.93364,10000,
210,69.3383,-19.2074,512.909,0.339199,7.95911,10000,
209,69.3868,-19.2574,516.113,0.361633,7.94411,10000,
208,69.3868,-18.4319,520.111,0.385173,7.97321,10000,
207,69.3868,-17.2112,524.49,0.416,7.94373,10000,
206,69.3868,-15.3102,529.404,0.445069,7.94604,10000,
205,69.3868,-12.1305,535.049,0.482156,7.92247,10000,
204,69.4354,-8.52964,541.901,0.520101,7.95332,10000,
203,69.4354,-4.4316,549.713,0.561346,7.96468,10000,
202,69.4354,-0.0511502,558.731,0.607357,7.9543,10000,
201,69.4354,5.6468,565.72,0.660269,7.88262,10000,
200,69.4354,11.2617,572.968,0.719399,7.95318,10000,
199,69.4354,17.5296,580.414,0.784006,7.91831,10000,
198,69.4354,23.153,589.706,0.851283,7.9315,10000,
197,69.4839,27.5316,600.159,0.921038,7.95154,10000,
196,69.4839,32.2141,611.74,0.994186,7.90488,10000,
195,69.4839,34.7122,624.588,1.0656,7.94106,10000,
194,69.4839,36.1691,631.866,1.14223,7.94158,10000,
193,69.4839,36.1881,639.801,1.21812,7.92031,10000,
192,69.4839,36.8976,649.17,1.29746,7.91454,10000,
191,69.5324,35.455,662.109,1.38394,7.94123,10000,
190,69.5324,33.6493,678.07,1.48128,7.92066,10000,
