ProDataCSV

Title: Tue Apr 28 11:31:33 2026 220nm

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Temperature,124 temperatures, from 20.3693 to 90.5322degrees Celsius in stepped ramp mode.

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
20.3693,-22.1333,480.667,0.208719,7.93088,10000,
20.3693,-22.1117,481.125,0.208621,7.96703,10000,
20.6191,-21.8779,480.804,0.208017,7.95403,10000,
20.9688,-22.1698,480.957,0.209095,7.94576,10000,
21.4182,-22.295,480.667,0.208179,7.94075,10000,
21.8674,-22.2643,481.094,0.207272,7.98952,10000,
22.4161,-21.9189,480.759,0.207914,7.95247,10000,
22.9645,-22.0695,480.82,0.208216,7.95154,10000,
23.4628,-22.04,480.911,0.209002,7.94401,10000,
24.0107,-22.0012,481.11,0.209022,7.95854,10000,
24.6081,-21.9618,481.064,0.209111,7.95347,10000,
25.1553,-21.8667,480.621,0.208178,7.93732,10000,
25.7023,-22.1308,481.216,0.209838,7.95159,10000,
26.2491,-21.7971,481.064,0.208666,7.96163,10000,
26.7955,-21.932,481.613,0.209158,7.9938,10000,
27.3913,-21.7589,481.705,0.209019,8.00322,10000,
27.9372,-21.9545,481.476,0.210125,7.96575,10000,
28.4828,-21.6245,481.354,0.209714,7.96414,10000,
29.0282,-21.6954,481.216,0.210668,7.93641,10000,
29.6228,-21.4685,481.445,0.210742,7.95215,10000,
30.1676,-21.5579,481.339,0.211023,7.93903,10000,
30.7616,-21.6014,481.369,0.211062,7.9406,10000,
31.4049,-22.0455,481.567,0.211293,7.95118,10000,
31.8994,-21.6229,482.132,0.211509,7.98934,10000,
32.4432,-21.3473,481.827,0.212079,7.95613,10000,
33.0361,-21.1055,481.995,0.212135,7.96759,10000,
33.6287,-21.5706,481.888,0.211794,7.9659,10000,
34.2211,-21.5029,482.239,0.2122,7.98459,10000,
34.7638,-21.3717,482.056,0.213575,7.94575,10000,
35.3556,-21.5136,481.674,0.212659,7.93414,10000,
35.9472,-20.868,481.705,0.212512,7.93912,10000,
36.5385,-21.0251,482.025,0.211985,7.97262,10000,
37.1295,-20.8115,481.979,0.213157,7.94773,10000,
37.671,-21.1698,482.666,0.213764,7.98757,10000,
38.2616,-21.3326,482.376,0.214201,7.95806,10000,
38.8518,-21.2145,482.3,0.214614,7.94483,10000,
39.3927,-21.293,482.88,0.214582,7.98837,10000,
40.0317,-21.2477,483.154,0.215326,7.99499,10000,
40.5721,-20.9131,482.681,0.215465,7.95747,10000,
41.1614,-21.0502,482.666,0.216243,7.94211,10000,
41.7505,-21.085,482.971,0.21633,7.96303,10000,
42.2903,-21.0464,482.391,0.214844,7.94741,10000,
42.8789,-21.1813,482.574,0.214702,7.96356,10000,
43.4674,-20.7403,482.849,0.215749,7.96467,10000,
44.0556,-20.7041,482.681,0.215315,7.96022,10000,
44.6436,-20.6581,482.239,0.213945,7.95257,10000,
45.2313,-20.8841,482.529,0.214381,7.96606,10000,
