ProDataCSV

Title: Tue Apr 28 11:31:33 2026 59.2838C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,59.1379,-3.72874,421.143,0.0974014,8.0213,10000,
239,59.1379,-4.22856,422.287,0.101792,7.98005,10000,
238,59.1379,-5.01314,422.943,0.105764,7.91242,10000,
237,59.1379,-6.12424,425.964,0.110242,7.95232,10000,
236,59.1865,-6.90988,429.062,0.112301,7.98749,10000,
235,59.1865,-8.16582,432.755,0.122966,7.95164,10000,
234,59.1865,-9.17446,437.149,0.126842,7.93453,10000,
233,59.1865,-10.6253,439.911,0.130989,7.94543,10000,
232,59.1865,-12.1502,442.856,0.138209,7.96708,10000,
231,59.1865,-13.4672,446.228,0.146874,8.007,10000,
230,59.2352,-14.7388,448.975,0.156459,7.93727,10000,
229,59.2352,-16.0555,452.057,0.161709,7.93827,10000,
228,59.2352,-17.3076,456.345,0.170816,7.96924,10000,
227,59.2352,-18.3494,459.412,0.178715,7.94453,10000,
226,59.2352,-19.2066,462.86,0.178433,7.97893,10000,
225,59.2352,-19.5584,466.156,0.188639,7.95649,10000,
224,59.2352,-19.7337,469.971,0.1913,7.99204,10000,
223,59.2352,-20.3574,473.404,0.196313,7.99166,10000,
222,59.2838,-20.0079,476.486,0.203764,7.94866,10000,
221,59.2838,-20.1334,479.95,0.211762,7.97089,10000,
220,59.2838,-19.8495,483.139,0.218045,7.94397,10000,
219,59.2838,-19.3108,487.091,0.224751,7.9923,10000,
218,59.2838,-18.9935,489.517,0.22987,7.92887,10000,
217,59.2838,-19.0354,493.454,0.239631,7.95233,10000,
216,59.3325,-18.7026,496.521,0.24847,7.95614,10000,
215,59.3325,-18.1826,499.207,0.255026,7.94464,10000,
214,59.3325,-18.4321,501.862,0.267601,7.98483,10000,
213,59.3325,-19.1192,503.433,0.28077,7.91746,10000,
212,59.3325,-19.1683,506.027,0.293181,7.94801,10000,
211,59.3325,-19.86,508.423,0.312427,7.96097,10000,
210,59.3811,-19.6925,511.002,0.329196,7.93855,10000,
209,59.3811,-20.0413,514.069,0.351745,7.91568,10000,
208,59.3811,-19.2998,515.686,0.374139,7.74032,10000,
207,59.3811,-18.0181,521.469,0.401221,7.93325,10000,
206,59.3811,-15.9078,525.711,0.429153,7.91146,10000,
205,59.3811,-12.7719,531.113,0.463451,7.93736,10000,
204,59.3811,-8.48171,537.567,0.500628,7.97277,10000,
203,59.4298,-4.22819,544.525,0.542062,7.94134,10000,
202,59.4298,0.879873,552.643,0.584905,7.95567,10000,
201,59.4298,7.07614,562.592,0.63556,7.94695,10000,
200,59.4298,12.8931,568.68,0.691817,7.97668,10000,
199,59.4298,19.0808,575.317,0.754114,7.94491,10000,
198,59.4298,25.302,583.588,0.819009,7.96064,10000,
197,59.4784,30.7263,593.063,0.888597,7.96125,10000,
196,59.4784,34.0086,603.073,0.959075,7.90574,10000,
195,59.4784,37.7372,613.937,1.02869,7.90651,10000,
194,59.4784,39.1879,625.9,1.10115,7.97851,10000,
193,59.4784,39.4608,632.431,1.17372,7.93651,10000,
192,59.527,39.7633,640.015,1.24658,7.95835,10000,
191,59.527,38.716,649.46,1.3261,7.9203,10000,
190,59.527,38.0332,661.789,1.41411,7.94301,10000,
