ProDataCSV

Title: Tue Apr 28 11:31:33 2026 48.1427C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,48.0205,-3.66722,420.425,0.0942872,8.02569,10000,
239,48.0205,-4.36423,420.425,0.0987402,7.90006,10000,
238,48.0205,-5.13055,423.004,0.103065,7.96613,10000,
237,48.0205,-5.7392,425.507,0.105758,8.00243,10000,
236,48.0205,-6.84797,428.055,0.109325,7.97292,10000,
235,48.0694,-8.09345,431.656,0.118503,7.9604,10000,
234,48.0694,-9.42425,436.05,0.122007,7.95266,10000,
233,48.0694,-10.7282,439.301,0.125445,7.97184,10000,
232,48.0694,-12.1785,442.093,0.134151,7.95146,10000,
231,48.0694,-13.72,445.435,0.144784,7.95601,10000,
230,48.0694,-15.2209,449.173,0.15467,7.9914,10000,
229,48.1183,-16.7252,452.408,0.161399,7.98011,10000,
228,48.1183,-18.1318,455.856,0.168939,7.95571,10000,
227,48.1183,-18.7876,459.32,0.176333,7.97955,10000,
226,48.1183,-19.7593,462.036,0.176597,7.93758,10000,
225,48.1183,-20.4537,465.622,0.187338,7.9336,10000,
224,48.1183,-20.7644,469.681,0.189443,8.00179,10000,
223,48.1183,-20.9636,472.824,0.194122,7.98475,10000,
222,48.1183,-21.2006,475.891,0.201279,7.94739,10000,
221,48.1672,-20.6689,479.95,0.210296,7.99784,10000,
220,48.1672,-20.3076,482.773,0.216093,7.95273,10000,
219,48.1672,-20.0779,485.901,0.222479,7.94893,10000,
218,48.1672,-19.915,489.67,0.227587,7.98129,10000,
217,48.1672,-19.3719,492.722,0.236115,7.96741,10000,
216,48.1672,-19.5843,495.499,0.24438,7.96386,10000,
215,48.2161,-19.4048,498.444,0.252804,7.93633,10000,
214,48.2161,-19.0628,501.19,0.264235,7.96302,10000,
213,48.2161,-19.8352,502.792,0.275735,7.93192,10000,
212,48.2161,-19.7726,505.432,0.288269,7.96862,10000,
211,48.2161,-20.4468,507.05,0.305464,7.93299,10000,
210,48.2161,-20.6702,510.239,0.321578,7.99518,10000,
209,48.2161,-20.4578,512.772,0.341479,7.96772,10000,
208,48.2649,-20.5062,515.747,0.363274,7.94259,10000,
207,48.2649,-18.3808,519.226,0.389015,7.94143,10000,
206,48.2649,-15.9433,523.697,0.41546,7.97844,10000,
205,48.2649,-12.521,528.152,0.449033,7.94582,10000,
204,48.2649,-8.60651,533.447,0.483997,7.94296,10000,
203,48.2649,-3.97955,540.054,0.521977,7.9698,10000,
202,48.2649,1.58857,547.15,0.564272,7.94475,10000,
201,48.3138,6.83419,555.969,0.612038,7.93931,10000,
200,48.3138,13.4398,564.423,0.667178,7.91901,10000,
199,48.3138,19.8198,570.801,0.72934,7.9069,10000,
198,48.3138,26.7091,578.796,0.793599,7.95651,10000,
197,48.3138,31.4854,586.639,0.858829,7.93755,10000,
196,48.3627,36.736,595.718,0.926701,7.90981,10000,
195,48.3627,39.0928,605.682,0.993354,7.95524,10000,
194,48.3627,41.1723,615.494,1.06432,7.91034,10000,
193,48.3627,41.8338,625.809,1.13016,7.94285,10000,
192,48.3627,42.6224,631.744,1.19954,7.92254,10000,
191,48.3627,40.7897,639.465,1.27162,7.94696,10000,
190,48.3627,38.5279,648.193,1.3512,7.92405,10000,
