ProDataCSV

Title: Tue Apr 28 11:31:33 2026 204nm

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Temperature,124 temperatures, from 20.3693 to 90.6293degrees Celsius in stepped ramp mode.

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
20.3693,-9.26435,526.459,0.450803,7.94936,10000,
20.4193,-9.42123,526.138,0.450208,7.93158,10000,
20.6691,-9.68878,526.199,0.451929,7.90566,10000,
21.0687,-9.49712,526.962,0.451628,7.97918,10000,
21.518,-9.77961,526.321,0.451064,7.93231,10000,
22.017,-9.78363,526.428,0.452187,7.92135,10000,
22.5158,-9.05587,526.688,0.453404,7.92222,10000,
23.0642,-9.40598,526.413,0.453332,7.89914,10000,
23.6123,-9.44783,527.237,0.453158,7.97554,10000,
24.1601,-9.53234,527.283,0.454009,7.96398,10000,
24.7076,-9.32796,527.145,0.45506,7.93258,10000,
25.2548,-9.65626,527.161,0.455023,7.9346,10000,
25.8515,-9.22906,527.344,0.454381,7.96257,10000,
26.3484,-9.24404,527.679,0.455372,7.9741,10000,
26.9445,-9.55094,527.924,0.456837,7.96877,10000,
27.4906,-9.33652,528.29,0.458679,7.96717,10000,
28.0364,-9.4377,527.969,0.458406,7.94405,10000,
28.6316,-9.84989,528,0.45956,7.92564,10000,
29.1768,-9.51658,528.564,0.45963,7.97381,10000,
29.7714,-9.41409,528.595,0.460386,7.96261,10000,
30.3161,-9.02616,528.9,0.461844,7.9625,10000,
30.8606,-9.73505,528.427,0.460919,7.93818,10000,
31.4543,-9.80761,528.732,0.462469,7.93645,10000,
31.9983,-9.8734,529.068,0.463735,7.94245,10000,
32.5914,-9.29543,529.266,0.46496,7.93725,10000,
33.1349,-9.35478,528.839,0.464388,7.9107,10000,
33.7275,-9.35053,529.495,0.464732,7.96123,10000,
34.3198,-9.07363,529.755,0.46601,7.96021,10000,
34.9118,-8.665,529.465,0.465111,7.95165,10000,
35.4542,-8.80379,529.694,0.466419,7.94746,10000,
36.0458,-9.3137,529.999,0.467271,7.95814,10000,
36.637,-9.28686,530.151,0.46772,7.96303,10000,
37.228,-8.77015,529.846,0.469159,7.91055,10000,
37.8187,-8.94194,530.655,0.470018,7.96405,10000,
38.36,-8.60211,530.487,0.47101,7.93157,10000,
38.9502,-9.15891,531.036,0.471972,7.96077,10000,
39.5402,-9.43226,531.342,0.473799,7.95321,10000,
40.1299,-9.21347,531.403,0.473756,7.95917,10000,
40.6703,-9.00879,531.509,0.474094,7.96202,10000,
41.3087,-9.07044,531.937,0.476704,7.95029,10000,
41.8486,-8.96945,532.074,0.476972,7.95694,10000,
42.4375,-9.17009,532.059,0.477375,7.94827,10000,
43.0261,-8.46,531.647,0.476593,7.92791,10000,
43.6144,-9.1093,531.982,0.477067,7.94751,10000,
44.2026,-9.1389,532.303,0.478546,7.94735,10000,
44.7905,-8.87653,532.425,0.478319,7.96174,10000,
45.3782,-8.94687,533.34,0.482064,7.96951,10000,
45.9168,-8.34842,532.578,0.479625,7.95059,10000,
46.5531,-9.05769,531.693,0.479049,7.88703,10000,
47.0913,-8.65104,532.349,0.480362,7.918,10000,
47.6782,-9.05109,532.715,0.482128,7.91632,10000,
48.2649,-8.60651,533.447,0.483997,7.94296,10000,
48.8515,-9.07206,533.691,0.485048,7.94393,10000,
49.4379,-8.64058,533.829,0.485284,7.95094,10000,
50.024,-8.65974,533.981,0.486103,7.94852,10000,
50.61,-8.69959,534.561,0.487066,7.97858,10000,
51.1959,-8.4078,534.302,0.487802,7.94379,10000,
51.7815,-8.31871,534.866,0.489688,7.9555,10000,
52.367,-8.86273,534.363,0.490415,7.90112,10000,
52.9523,-8.36668,535.172,0.490444,7.96655,10000,
53.5375,-8.95468,534.851,0.490241,7.94413,10000,
54.1225,-8.45828,535.568,0.491962,7.971,10000,
54.7073,-8.61905,535.767,0.49359,7.95724,10000,
55.2921,-8.22457,536.148,0.495511,7.95288,10000,
55.8766,-8.82645,536.514,0.497559,7.94485,10000,
56.461,-8.39967,536.194,0.49556,7.95567,10000,
57.0453,-8.67498,535.95,0.496589,7.9172,10000,
57.6295,-8.89815,536.377,0.497484,7.93519,10000,
58.2135,-8.41498,536.88,0.499476,7.9391,10000,
58.846,-9.0816,536.53,0.500484,7.89272,10000,
59.3811,-8.48171,537.567,0.500628,7.97277,10000,
59.9648,-8.74916,537.125,0.501196,7.92715,10000,
60.5483,-8.72188,537.552,0.504132,7.9075,10000,
61.1803,-8.79867,537.888,0.503264,7.94991,10000,
61.715,-8.42837,538.177,0.503948,7.96032,10000,
62.3468,-8.52392,537.903,0.503591,7.94513,10000,
62.9299,-8.64199,538.223,0.505347,7.93834,10000,
63.5129,-8.33578,539.093,0.50791,7.95977,10000,
64.0958,-8.38019,539.291,0.50938,7.94836,10000,
64.6786,-8.4838,539.474,0.50909,7.96798,10000,
65.2613,-8.50476,539.429,0.511358,7.92291,10000,
65.844,-8.56985,539.444,0.512243,7.90797,10000,
66.4751,-8.43509,540.1,0.512883,7.94714,10000,
67.0576,-8.56775,540.588,0.514192,7.96095,10000,
67.64,-8.50236,540.634,0.516744,7.9178,10000,
68.1738,-8.34619,541.397,0.518747,7.93967,10000,
68.8046,-8.689,541.29,0.518686,7.93263,10000,
69.4354,-8.52964,541.901,0.520101,7.95332,10000,
69.969,-8.77235,542.099,0.521076,7.95057,10000,
70.5511,-8.62974,542.023,0.522091,7.92622,10000,
71.1332,-8.6224,542.694,0.523679,7.94801,10000,
71.7152,-8.80898,542.48,0.525305,7.90224,10000,
72.3457,-9.05757,543.716,0.528036,7.94515,10000,
72.9276,-9.144,543.915,0.52783,7.96377,10000,
73.558,-8.08057,543.839,0.530153,7.9156,10000,
74.0914,-8.82032,544.159,0.53051,7.93293,10000,
74.6732,-8.72651,544.876,0.532391,7.95176,10000,
75.2551,-8.40355,545.471,0.535038,7.94724,10000,
75.8853,-8.73088,545.532,0.535454,7.94411,10000,
76.4671,-8.42896,545.349,0.537946,7.88527,10000,
77.0489,-8.76783,546.28,0.539462,7.92562,10000,
77.6307,-8.39629,547.409,0.541556,7.96937,10000,
78.2124,-8.55186,547.638,0.543553,7.94933,10000,
78.7942,-8.97948,548.279,0.546493,7.94164,10000,
79.4245,-9.41823,549.026,0.548544,7.95757,10000,
80.0062,-8.87934,549.438,0.550883,7.94407,10000,
80.588,-8.96006,550.201,0.55411,7.939,10000,
81.1698,-8.97565,550.735,0.556644,7.93021,10000,
81.7516,-8.88575,551.773,0.559146,7.95691,10000,
82.3335,-9.59461,552.872,0.563449,7.9542,10000,
82.9153,-9.77533,553.925,0.567076,7.96003,10000,
83.4972,-10.178,554.459,0.572133,7.90397,10000,
84.1277,-10.6733,555.756,0.574526,7.94771,10000,
84.7096,-10.825,557.098,0.578186,7.97051,10000,
85.2916,-11.3247,558.09,0.583854,7.93241,10000,
85.9222,-11.0483,558.96,0.586113,7.94816,10000,
86.5043,-10.6806,558.899,0.588389,7.90264,10000,
87.0865,-11.2223,560.425,0.591025,7.95355,10000,
87.7172,-11.3396,561.966,0.594876,7.98218,10000,
88.2995,-11.3784,561.89,0.597103,7.93648,10000,
88.8819,-10.8369,562.576,0.599016,7.95006,10000,
89.4643,-10.9553,563.08,0.601599,7.96651,10000,
90.0467,-11.366,563.202,0.603066,7.95501,10000,
90.6293,-11.2584,563.339,0.604675,7.94281,10000,
