ProDataCSV

Title: Tue Apr 28 11:31:33 2026 199nm

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Temperature,124 temperatures, from 20.3693 to 90.6778degrees Celsius in stepped ramp mode.

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
20.3693,20.6709,562.057,0.672661,7.92478,10000,
20.4193,20.9021,562.103,0.672919,7.92298,10000,
20.7191,20.3735,562.454,0.67241,7.95461,10000,
21.1186,20.186,562.347,0.673582,7.92639,10000,
21.5679,20.6964,562.363,0.672885,7.9401,10000,
22.017,20.1685,562.378,0.674061,7.91959,10000,
22.5657,20.3715,562.698,0.676355,7.91059,10000,
23.114,20.5196,563.202,0.677073,7.96096,10000,
23.6621,20.4719,563.202,0.677729,7.94894,10000,
24.2099,20.5781,563.614,0.679164,7.97436,10000,
24.7573,20.2931,563.705,0.681141,7.94957,10000,
25.3045,21.0214,563.858,0.681241,7.96677,10000,
25.8515,20.1849,563.583,0.681145,7.93427,10000,
26.3981,20.5826,563.568,0.683998,7.88043,10000,
26.9445,20.504,563.98,0.68302,7.94937,10000,
27.5402,20.1588,563.873,0.684574,7.90776,10000,
28.086,20.4513,563.049,0.685961,7.78087,10000,
28.6316,20.5937,563.965,0.688726,7.84375,10000,
29.1768,20.1279,564.072,0.688883,7.854,10000,
29.7714,20.0996,564.758,0.690195,7.91422,10000,
30.3161,20.4527,565.308,0.691294,7.96118,10000,
30.9101,19.9983,564.743,0.69248,7.87084,10000,
31.5038,20.1167,565.369,0.694509,7.90986,10000,
32.0477,20.2395,565.72,0.694494,7.9526,10000,
32.6408,20.5114,565.842,0.695877,7.94204,10000,
33.1843,20.3055,565.887,0.69681,7.93051,10000,
33.7768,20.2099,565.735,0.696609,7.91579,10000,
34.3691,20.4073,565.659,0.698165,7.87833,10000,
34.9611,20.0024,566.04,0.698279,7.92203,10000,
35.5036,20.1242,566.33,0.699407,7.93616,10000,
36.095,20.3905,566.193,0.699021,7.92679,10000,
36.6863,19.7536,566.62,0.700376,7.95309,10000,
37.2772,20.5075,567.047,0.703947,7.93855,10000,
37.8187,20.0617,567.307,0.704391,7.96112,10000,
38.4092,19.9189,567.764,0.706184,7.98225,10000,
38.9994,20.035,567.993,0.7078,7.97946,10000,
39.5893,20.348,568.344,0.710554,7.96994,10000,
40.1791,20.2984,568.68,0.711751,7.98705,10000,
40.7194,20.2884,568.527,0.712042,7.96396,10000,
41.3578,20.761,568.68,0.715131,7.92513,10000,
41.8977,20.5576,568.71,0.714961,7.93175,10000,
42.4865,20.308,568.634,0.714733,7.92711,10000,
43.0261,19.7232,568.649,0.715667,7.91183,10000,
43.6144,19.675,569.183,0.717359,7.94238,10000,
44.2026,19.9031,569.305,0.720362,7.90158,10000,
44.7905,20.2952,569.656,0.718623,7.97345,10000,
45.3782,20.4491,569.626,0.721567,7.91611,10000,
45.9658,20.3914,569.901,0.722394,7.93221,10000,
46.5531,20.7973,570.023,0.722599,7.94232,10000,
47.1402,20.2957,570.526,0.723954,7.97452,10000,
47.7271,18.6007,570.618,0.726325,7.9414,10000,
48.3138,19.8198,570.801,0.72934,7.9069,10000,
48.9004,19.835,570.786,0.728612,7.91845,10000,
49.4867,19.2619,571.289,0.730821,7.93433,10000,
50.024,20.1255,571.869,0.732659,7.96508,10000,
50.6589,19.7549,571.564,0.732797,7.92873,10000,
51.2447,19.8022,571.808,0.733474,7.94338,10000,
51.8303,19.8674,572.464,0.736295,7.96407,10000,
52.4158,19.4941,572.723,0.737235,7.97531,10000,
53.0011,19.0748,572.647,0.738396,7.94566,10000,
53.5862,20.0744,572.662,0.738884,7.93842,10000,
54.1712,19.7439,572.845,0.741127,7.91741,10000,
54.7561,19.9654,573.517,0.743385,7.94895,10000,
55.3408,19.6555,573.349,0.743654,7.92589,10000,
55.9253,19.8986,573.929,0.745053,7.96285,10000,
56.5097,19.4405,573.868,0.746098,7.93716,10000,
57.094,18.99,573.929,0.747833,7.91204,10000,
57.6781,19.1283,574.341,0.748869,7.93718,10000,
58.2621,19.148,574.509,0.750917,7.91768,10000,
58.846,19.1451,574.585,0.751928,7.90735,10000,
59.4298,19.0808,575.317,0.754114,7.94491,10000,
60.062,18.3889,575.394,0.75599,7.91868,10000,
60.5969,18.2919,575.806,0.758197,7.92159,10000,
61.1803,19.0963,576.202,0.757406,7.97758,10000,
61.7636,18.2548,576.645,0.760069,7.97485,10000,
62.3954,18.4401,576.447,0.7611,7.93535,10000,
62.9299,18.4572,575.79,0.76293,7.83416,10000,
63.5615,18.945,577.087,0.764648,7.93676,10000,
64.1444,18.2425,577.454,0.767698,7.91867,10000,
64.7272,18.1405,577.667,0.767869,7.93738,10000,
65.3099,17.753,576.889,0.76961,7.8264,10000,
65.8925,17.7787,578.384,0.772186,7.93143,10000,
66.5236,17.2952,578.644,0.774707,7.91162,10000,
67.1061,17.8153,579.193,0.776701,7.9304,10000,
67.6885,17.5474,579.727,0.777671,7.96606,10000,
68.2709,18.008,579.865,0.778631,7.96217,10000,
68.8531,17.7657,580.261,0.780982,7.95852,10000,
69.4354,17.5296,580.414,0.784006,7.91831,10000,
70.0175,17.9995,580.872,0.783774,7.96764,10000,
70.5996,17.0252,581.223,0.7868,7.94667,10000,
71.1817,17.0027,581.512,0.788916,7.93626,10000,
71.8122,16.6385,581.894,0.790552,7.94343,10000,
72.3942,16.657,582.397,0.792866,7.94979,10000,
72.9761,16.1883,582.901,0.794463,7.96902,10000,
73.558,17.1031,582.611,0.797762,7.88106,10000,
74.1399,15.5707,583.45,0.798828,7.94159,10000,
74.7217,16.2908,583.786,0.801298,7.92832,10000,
75.3035,15.219,584.579,0.804459,7.94536,10000,
75.9338,15.586,584.564,0.806056,7.91477,10000,
76.5156,15.0354,585.403,0.809657,7.92732,10000,
77.0974,14.4419,585.648,0.811644,7.9137,10000,
77.6792,14.2745,586.639,0.815538,7.93388,10000,
78.2609,13.5576,587.357,0.818757,7.94048,10000,
78.8427,13.6357,587.555,0.820404,7.92839,10000,
79.4245,12.6284,588.684,0.824605,7.95332,10000,
80.0547,12.0901,589.233,0.827244,7.9541,10000,
80.6365,10.5706,590.118,0.832713,7.93247,10000,
81.2183,9.46101,590.302,0.835222,7.9028,10000,
81.8001,8.73356,591.843,0.84225,7.90866,10000,
82.382,7.16535,593.674,0.846138,7.99444,10000,
82.9638,6.0466,594.36,0.853148,7.9241,10000,
83.5457,3.95296,595.688,0.858881,7.9302,10000,
84.1762,2.18067,596.939,0.864398,7.93248,10000,
84.7581,1.31834,597.855,0.869787,7.90865,10000,
85.3402,-0.819767,599.854,0.877113,7.93521,10000,
85.9222,-2.428,600.876,0.881318,7.93921,10000,
86.5528,-1.9251,601.563,0.884422,7.93632,10000,
87.135,-3.26948,602.844,0.890453,7.92565,10000,
87.7172,-3.64763,604.05,0.894169,7.95023,10000,
88.2995,-3.6601,604.37,0.896724,7.92794,10000,
88.9304,-4.91112,605.225,0.899866,7.93523,10000,
89.4643,-5.3516,605.774,0.902358,7.93101,10000,
90.0953,-5.66145,606.857,0.905425,7.95587,10000,
90.6778,-5.42402,607.315,0.907196,7.95743,10000,
