ProDataCSV

Title: Tue Apr 28 11:31:33 2026 24.0356C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,23.9111,-3.19979,418.274,0.0875789,7.98814,10000,
239,23.9111,-4.19043,418.884,0.0923013,7.90357,10000,
238,23.9111,-4.93669,420.822,0.0955007,7.94604,10000,
237,23.9111,-5.83629,420.822,0.0993325,7.78505,10000,
236,23.9111,-6.5577,425.781,0.101538,7.95747,10000,
235,23.9111,-8.11196,429.825,0.112272,7.95132,10000,
234,23.9609,-9.32366,434.402,0.114383,7.98554,10000,
233,23.9609,-10.9624,438.293,0.11865,7.97072,10000,
232,23.9609,-12.3585,441.269,0.127135,7.98172,10000,
231,23.9609,-14.1812,444.687,0.13923,7.97286,10000,
230,23.9609,-15.9347,446.35,0.14779,7.81002,10000,
229,23.9609,-17.6243,450.989,0.154548,7.95838,10000,
228,23.9609,-18.6663,454.3,0.162064,7.92707,10000,
227,24.0107,-19.9377,457.687,0.169661,7.94619,10000,
226,24.0107,-21.3144,460.785,0.169516,7.95208,10000,
225,24.0107,-22.2433,464.401,0.180206,7.95632,10000,
224,24.0107,-22.2054,468.063,0.182787,7.98656,10000,
223,24.0107,-22.3715,471.756,0.188564,7.99928,10000,
222,24.0107,-22.631,474.35,0.193476,7.96788,10000,
221,24.0107,-22.0483,477.936,0.201964,7.9963,10000,
220,24.0107,-22.0012,481.11,0.209022,7.95854,10000,
219,24.0605,-21.6911,484.68,0.216382,7.97256,10000,
218,24.0605,-21.2442,487.244,0.220374,7.94325,10000,
217,24.0605,-21.0117,490.799,0.228754,7.97127,10000,
216,24.0605,-20.3696,494.034,0.236982,8.0022,10000,
215,24.0605,-20.2222,496.216,0.244786,7.93831,10000,
214,24.0605,-20.5359,500.305,0.255986,8.00295,10000,
213,24.1103,-20.1375,502.014,0.266656,8.00297,10000,
212,24.1103,-20.6282,503.754,0.278103,7.95579,10000,
211,24.1103,-21.3869,505.753,0.295757,7.96102,10000,
210,24.1103,-22.0192,507.614,0.309429,7.92532,10000,
209,24.1103,-21.6268,510.284,0.326942,7.96669,10000,
208,24.1103,-20.7303,511.475,0.346339,7.80751,10000,
207,24.1103,-19.4573,515.915,0.370559,7.95047,10000,
206,24.1601,-16.7892,519.18,0.393367,7.95493,10000,
205,24.1601,-13.5091,522.797,0.422868,7.94065,10000,
204,24.1601,-9.53234,527.283,0.454009,7.96398,10000,
203,24.1601,-4.61506,531.998,0.488168,7.93823,10000,
202,24.1601,0.34674,538.254,0.526709,7.95971,10000,
201,24.1601,6.78264,544.846,0.570698,7.91226,10000,
200,24.2099,13.5044,554.047,0.621539,7.95685,10000,
199,24.2099,20.5781,563.614,0.679164,7.97436,10000,
198,24.2099,27.7217,569.229,0.739853,7.91135,10000,
197,24.2099,32.5928,576.019,0.802811,7.92343,10000,
196,24.2099,38.0306,583.481,0.866909,7.9168,10000,
195,24.2099,41.6435,590.912,0.929167,7.93338,10000,
194,24.2596,43.6085,597.748,0.991179,7.92284,10000,
193,24.2596,44.7063,605.225,1.0522,7.89883,10000,
192,24.2596,44.7353,613.113,1.11221,7.91204,10000,
191,24.2596,43.2314,621.902,1.17109,7.93266,10000,
190,24.2596,41.5795,628.204,1.23781,7.88827,10000,
