ProDataCSV

Title: Tue Apr 28 11:31:33 2026 50.4879C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,50.3659,-3.6026,421.631,0.0972916,8.05939,10000,
239,50.3659,-4.4839,421.631,0.100905,7.94858,10000,
238,50.3659,-5.14159,421.631,0.104428,7.84248,10000,
237,50.3659,-5.96226,425.583,0.108777,7.95236,10000,
236,50.3659,-6.68216,428.391,0.111235,7.961,10000,
235,50.3659,-7.87943,432.159,0.120061,7.9654,10000,
234,50.4147,-9.13134,436.401,0.123294,7.95165,10000,
233,50.4147,-10.713,439.346,0.126876,7.95127,10000,
232,50.4147,-12.4208,442.383,0.135685,7.95767,10000,
231,50.4147,-13.8192,445.572,0.145665,7.95536,10000,
230,50.4147,-15.1041,449.097,0.155732,7.96369,10000,
229,50.4147,-16.6235,452.057,0.162579,7.92238,10000,
228,50.4147,-17.8003,456.467,0.170019,7.99586,10000,
227,50.4635,-18.9346,459.595,0.177923,7.9763,10000,
226,50.4635,-19.8922,462.936,0.177925,7.99522,10000,
225,50.4635,-20.3405,465.866,0.188362,7.93624,10000,
224,50.4635,-20.4351,469.696,0.191204,7.97069,10000,
223,50.4635,-21.0749,473.068,0.195923,7.97155,10000,
222,50.4635,-21.1469,476.837,0.201932,8.00986,10000,
221,50.5124,-20.623,479.782,0.211611,7.96091,10000,
220,50.5124,-20.4714,483.109,0.216433,7.97127,10000,
219,50.5124,-20.1918,486.313,0.223219,7.96486,10000,
218,50.5124,-19.9549,489.258,0.227728,7.95003,10000,
217,50.5124,-19.5921,493.149,0.238465,7.95318,10000,
216,50.5124,-19.0194,496.109,0.246319,7.96854,10000,
215,50.5124,-19.0615,498.459,0.254868,7.89967,10000,
214,50.5612,-19.1817,501.602,0.265315,7.99463,10000,
213,50.5612,-19.2598,503.189,0.277497,7.94782,10000,
212,50.5612,-19.7166,505.371,0.290477,7.92108,10000,
211,50.5612,-20.1378,507.111,0.307646,7.90016,10000,
210,50.5612,-20.6256,510.269,0.324071,7.95274,10000,
209,50.5612,-20.4575,513,0.34356,7.95375,10000,
208,50.61,-19.9273,515.961,0.365869,7.91683,10000,
207,50.61,-18.4144,520.569,0.392302,8.01104,10000,
206,50.61,-15.9675,523.788,0.418169,7.93725,10000,
205,50.61,-12.1845,528.656,0.451842,7.93844,10000,
204,50.61,-8.69959,534.561,0.487066,7.97858,10000,
203,50.61,-4.31379,540.375,0.52475,7.94381,10000,
202,50.61,1.12611,547.653,0.568547,7.90306,10000,
201,50.6589,6.77701,557.648,0.617523,7.95074,10000,
200,50.6589,13.4041,565.399,0.672535,7.94049,10000,
199,50.6589,19.7549,571.564,0.732797,7.92873,10000,
198,50.6589,25.6126,579.437,0.797601,7.94765,10000,
197,50.6589,32.111,587.662,0.864513,7.92679,10000,
196,50.6589,35.9251,597.717,0.934003,7.94037,10000,
195,50.6589,39.2828,607.269,1.00042,7.94446,10000,
194,50.7077,41.2568,617.599,1.07111,7.92958,10000,
193,50.7077,41.3691,627.197,1.13823,7.9676,10000,
192,50.7077,41.0644,633.591,1.20919,7.95503,10000,
191,50.7077,39.1204,639.725,1.28193,7.78675,10000,
190,50.7565,38.1567,650.757,1.36404,7.92317,10000,
