ProDataCSV

Title: Tue Apr 28 11:31:33 2026 34.7638C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,34.6158,-3.49522,419.464,0.0923205,7.99031,10000,
239,34.6158,-3.97069,419.464,0.0952109,7.89358,10000,
238,34.6651,-4.80559,421.814,0.099909,7.93781,10000,
237,34.6651,-5.76025,424.286,0.103056,7.96541,10000,
236,34.6651,-7.09588,424.286,0.105945,7.77314,10000,
235,34.6651,-7.97638,431.122,0.114826,7.99208,10000,
234,34.6651,-9.52111,434.219,0.117519,7.91618,10000,
233,34.6651,-10.8433,439.163,0.121485,8.02767,10000,
232,34.7145,-12.2411,441.727,0.130693,7.97128,10000,
231,34.6651,-14.1742,444.977,0.141518,7.96396,10000,
230,34.7145,-15.8221,448.334,0.150474,7.97768,10000,
229,34.7145,-16.9632,451.645,0.158043,7.96275,10000,
228,34.7145,-18.1191,455.658,0.166225,7.98594,10000,
227,34.7145,-19.6034,458.832,0.173322,7.98855,10000,
226,34.7145,-20.4016,462.173,0.173279,8.01109,10000,
225,34.7145,-21.1437,465.088,0.183738,7.9525,10000,
224,34.7638,-21.5397,468.872,0.186456,7.98819,10000,
223,34.7638,-21.7451,472.137,0.191469,7.97728,10000,
222,34.7638,-22.0112,475.372,0.197779,7.9705,10000,
221,34.7638,-21.7061,478.683,0.20756,7.95126,10000,
220,34.7638,-21.3717,482.056,0.213575,7.94575,10000,
219,34.7638,-20.9513,485.168,0.219501,7.95076,10000,
218,34.7638,-20.8093,488.251,0.224116,7.94576,10000,
217,34.7638,-19.9601,491.409,0.233024,7.93488,10000,
216,34.8131,-19.8432,494.37,0.240872,7.95321,10000,
215,34.8131,-19.4129,497.116,0.248795,7.92379,10000,
214,34.8131,-19.8499,501.038,0.260416,8.01411,10000,
213,34.8131,-20.082,502.396,0.271732,7.95675,10000,
212,34.8131,-20.3018,504.837,0.283162,7.99225,10000,
211,34.8131,-20.7819,506.317,0.299197,7.96355,10000,
210,34.8131,-21.3199,507.904,0.313716,7.87994,10000,
209,34.8625,-20.9187,511.154,0.33219,7.96507,10000,
208,34.8625,-20.681,514.099,0.352773,7.96562,10000,
207,34.8625,-18.7501,517.319,0.377961,7.95604,10000,
206,34.8625,-16.4144,520.889,0.402533,7.95177,10000,
205,34.8625,-13.1555,525.253,0.433552,7.97083,10000,
204,34.9118,-8.665,529.465,0.465111,7.95165,10000,
203,34.9118,-4.19565,534.454,0.500873,7.90978,10000,
202,34.9118,1.11862,541.428,0.541241,7.94026,10000,
201,34.9118,6.71822,549.164,0.587066,7.92614,10000,
200,34.9118,13.7341,558.945,0.641268,7.92302,10000,
199,34.9611,20.0024,566.04,0.698279,7.92203,10000,
198,34.9611,27.7104,573.166,0.762038,7.94485,10000,
197,34.9611,33.0883,580.505,0.825383,7.96602,10000,
196,34.9611,37.7087,587.555,0.891542,7.84531,10000,
195,34.9611,40.0583,596.68,0.955427,7.94169,10000,
194,34.9611,42.657,604.797,1.02073,7.93553,10000,
193,34.9611,42.8016,613.647,1.0844,7.92145,10000,
192,35.0104,42.5221,622.955,1.14899,7.90217,10000,
191,35.0104,42.2565,629.898,1.21326,7.95999,10000,
190,35.0104,39.5942,635.849,1.28388,7.91966,10000,
