ProDataCSV

Title: Tue Apr 28 11:31:33 2026 73.9702C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,73.8489,-3.84818,423.203,0.103942,8.05122,10000,
239,73.8489,-4.05308,423.203,0.107681,7.93823,10000,
238,73.8489,-4.86602,424.393,0.112409,7.89455,10000,
237,73.8489,-5.65146,427.734,0.116436,7.962,10000,
236,73.8974,-6.69064,430.756,0.118928,7.98083,10000,
235,73.8974,-7.56293,434.433,0.128099,7.96791,10000,
234,73.8974,-8.70269,438.08,0.1312,7.95052,10000,
233,73.8974,-9.78647,440.674,0.135162,7.96194,10000,
232,73.8974,-11.2709,443.329,0.14266,7.94084,10000,
231,73.8974,-12.0813,446.823,0.152442,7.97105,10000,
230,73.8974,-13.4831,450.043,0.161469,7.95952,10000,
229,73.9459,-14.5788,452.911,0.167787,7.91474,10000,
228,73.9459,-15.3165,457.489,0.17709,7.96546,10000,
227,73.9459,-16.3356,460.709,0.184413,7.96146,10000,
226,73.9459,-17.1173,463.623,0.183075,7.96266,10000,
225,73.9459,-17.6026,467.178,0.194728,7.9337,10000,
224,73.9459,-17.5769,471.146,0.19697,7.98596,10000,
223,73.9944,-17.9936,474.335,0.20137,7.97386,10000,
222,73.9944,-18.0959,477.6,0.208927,7.94093,10000,
221,73.9944,-17.6924,481.201,0.217879,7.9531,10000,
220,73.9944,-17.5185,484.879,0.224036,7.96117,10000,
219,73.9944,-16.8602,487.991,0.23238,7.91621,10000,
218,73.9944,-17.1713,492.203,0.235789,8.00496,10000,
217,74.0429,-16.7491,495.27,0.245625,7.96357,10000,
216,74.0429,-16.6067,498.978,0.255407,7.98837,10000,
215,74.0429,-16.8808,501.205,0.265587,7.9538,10000,
214,74.0429,-17.0697,502.991,0.27805,7.93177,10000,
213,74.0429,-17.414,505.417,0.291948,7.94844,10000,
212,74.0429,-17.7423,508.148,0.305883,7.95782,10000,
211,74.0429,-17.8451,510.666,0.325806,7.96359,10000,
210,74.0429,-18.3663,513.596,0.343583,7.95092,10000,
209,74.0914,-18.2345,517.227,0.367395,7.95048,10000,
208,74.0914,-17.9345,521.576,0.392438,7.97999,10000,
207,74.0914,-16.5443,526.154,0.423812,7.95127,10000,
206,74.0914,-14.5985,531.693,0.45452,7.96862,10000,
205,74.0914,-11.6245,537.552,0.491751,7.94816,10000,
204,74.0914,-8.82032,544.159,0.53051,7.93293,10000,
203,74.0914,-4.62793,552.689,0.573339,7.95318,10000,
202,74.1399,-0.093539,562.79,0.621256,7.98011,10000,
201,74.1399,4.67446,568.253,0.67468,7.91925,10000,
200,74.1399,11.2004,575.302,0.73399,7.93647,10000,
199,74.1399,15.5707,583.45,0.798828,7.94159,10000,
198,74.1399,22.0746,593.124,0.867131,7.93867,10000,
197,74.1884,26.5645,604.416,0.939736,7.94018,10000,
196,74.1884,29.4146,617.401,1.01429,7.92958,10000,
195,74.1884,31.6883,628.235,1.0878,7.96209,10000,
194,74.1884,34.3885,635.376,1.16553,7.90739,10000,
193,74.1884,34.8443,644.577,1.24293,7.94272,10000,
192,74.1884,32.9324,654.678,1.32552,7.89084,10000,
191,74.2369,34.9091,669.632,1.4137,7.9752,10000,
190,74.2369,31.7741,688.049,1.51864,7.92986,10000,
