ProDataCSV

Title: Tue Apr 28 11:31:33 2026 25.7023C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,25.5532,-3.42983,418.579,0.0896989,7.97218,10000,
239,25.5532,-4.05277,418.579,0.0914824,7.89577,10000,
238,25.6029,-4.86611,421.188,0.0956347,7.97044,10000,
237,25.6029,-5.71752,421.188,0.0995923,7.8067,10000,
236,25.6029,-6.84229,425.827,0.102119,7.95003,10000,
235,25.6029,-8.17009,430.191,0.110867,8.00199,10000,
234,25.6029,-9.41474,434.326,0.114648,7.97567,10000,
233,25.6029,-10.901,438.522,0.119294,7.98771,10000,
232,25.6029,-12.4829,441.177,0.128541,7.94492,10000,
231,25.6526,-14.3351,444.626,0.139098,7.9683,10000,
230,25.6526,-15.8931,448.074,0.147392,8.00609,10000,
229,25.6526,-17.7438,451.401,0.154727,7.99823,10000,
228,25.6526,-18.8524,454.407,0.162245,7.93444,10000,
227,25.6526,-20.0946,455.963,0.16966,7.78052,10000,
226,25.6526,-20.7887,461.288,0.170961,7.9722,10000,
225,25.6526,-21.8399,464.661,0.180351,7.97674,10000,
224,25.7023,-21.9342,467.789,0.182573,7.96691,10000,
223,25.6526,-22.6664,471.207,0.188633,7.95261,10000,
222,25.7023,-22.412,474.579,0.195114,7.95617,10000,
221,25.7023,-21.6688,478.088,0.203977,7.97112,10000,
220,25.7023,-22.1308,481.216,0.209838,7.95159,10000,
219,25.7023,-21.8218,484.543,0.216661,7.95746,10000,
218,25.7023,-21.5999,487.366,0.221596,7.92954,10000,
217,25.7023,-20.6045,490.906,0.229231,7.96985,10000,
216,25.7023,-20.727,493.5,0.2376,7.95497,10000,
215,25.7521,-20.5898,496.277,0.244846,7.94122,10000,
214,25.7521,-20.688,500.031,0.255661,7.97392,10000,
213,25.7521,-20.3678,501.74,0.267618,7.95126,10000,
212,25.7521,-21.0017,503.799,0.279242,7.94044,10000,
211,25.7521,-20.9793,506.119,0.29478,8.02177,10000,
210,25.8018,-21.2326,508.026,0.309045,7.97895,10000,
209,25.7521,-21.6429,510.269,0.327429,7.95611,10000,
208,25.8018,-21.1378,513.123,0.347898,7.95283,10000,
207,25.8018,-19.1325,515.839,0.371336,7.92854,10000,
206,25.8018,-16.7284,519.684,0.396215,7.95167,10000,
205,25.8018,-13.2467,523.666,0.426065,7.96278,10000,
204,25.8515,-9.22906,527.344,0.454381,7.96257,10000,
203,25.8515,-4.82945,532.196,0.488906,7.94139,10000,
202,25.8515,0.718522,538.498,0.528788,7.9409,10000,
201,25.8515,6.56493,545.654,0.57303,7.92918,10000,
200,25.8515,13.3333,554.703,0.624656,7.94442,10000,
199,25.8515,20.1849,563.583,0.681145,7.93427,10000,
198,25.8515,27.8618,569.397,0.742667,7.87932,10000,
197,25.8515,33.8423,576.706,0.805637,7.94313,10000,
196,25.8515,38.1828,582.916,0.870821,7.79275,10000,
195,25.9012,41.6504,591.476,0.9329,7.91433,10000,
194,25.9012,43.1245,598.969,0.996628,7.92176,10000,
193,25.9012,44.352,607.132,1.05827,7.93037,10000,
192,25.9012,44.3804,614.746,1.11727,7.93337,10000,
191,25.9012,42.6073,624.237,1.17924,7.9343,10000,
190,25.9509,40.3014,629.547,1.24399,7.93564,10000,
