ProDataCSV

Title: Tue Apr 28 11:31:33 2026 227nm

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Temperature,124 temperatures, from 20.3693 to 90.4837degrees Celsius in stepped ramp mode.

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
20.3693,-20.1433,457.84,0.170102,7.95278,10000,
20.3693,-20.5776,457.855,0.169243,7.96999,10000,
20.6191,-20,457.535,0.168492,7.95291,10000,
20.9189,-19.958,458.176,0.168835,8.00833,10000,
21.3683,-20.004,457.657,0.169278,7.95026,10000,
21.8175,-20.0155,457.733,0.168513,7.97163,10000,
22.3662,-19.8047,457.718,0.168851,7.96397,10000,
22.9147,-19.6883,457.901,0.169033,7.97825,10000,
23.413,-20.0925,458.13,0.170062,7.98134,10000,
24.0107,-19.9377,457.687,0.169661,7.94619,10000,
24.5583,-19.9672,458.054,0.169556,7.98332,10000,
25.1056,-19.9768,457.458,0.170262,7.91324,10000,
25.6526,-20.0946,455.963,0.16966,7.78052,10000,
26.1994,-19.8819,458.374,0.171092,7.98583,10000,
26.7458,-19.9887,458.267,0.17046,7.9872,10000,
27.292,-19.5189,458.099,0.169482,7.98908,10000,
27.8876,-19.813,458.298,0.170622,7.98715,10000,
28.4332,-19.699,458.252,0.170701,7.98132,10000,
29.0282,-19.696,458.054,0.171842,7.9414,10000,
29.5732,-19.8226,458.328,0.172018,7.96444,10000,
30.1181,-20.04,457.794,0.171347,7.92562,10000,
30.7121,-19.6665,458.435,0.172027,7.97448,10000,
31.3059,-19.6309,458.282,0.172294,7.95501,10000,
31.85,-19.5926,458.115,0.171707,7.94971,10000,
32.3937,-19.3999,456.97,0.173306,7.81144,10000,
32.9867,-19.3907,458.786,0.172597,7.99751,10000,
33.5793,-19.6771,458.282,0.172719,7.94723,10000,
34.1717,-19.7362,458.45,0.172734,7.96297,10000,
34.7145,-19.6034,458.832,0.173322,7.98855,10000,
35.3063,-19.577,458.511,0.173488,7.95496,10000,
35.8979,-19.6325,458.878,0.173627,7.9873,10000,
36.4399,-19.6002,458.984,0.174464,7.98207,10000,
37.031,-19.3096,459.076,0.174029,7.99877,10000,
37.6218,-19.3655,458.755,0.175971,7.93274,10000,
38.2124,-19.5762,458.862,0.174773,7.96479,10000,
38.8027,-19.2747,458.984,0.175812,7.95732,10000,
39.3436,-19.3719,459.518,0.177569,7.97559,10000,
39.9334,-19.2922,459.137,0.176973,7.95051,10000,
40.523,-19.1855,459.03,0.177047,7.93906,10000,
41.1123,-19.0108,459.656,0.177352,7.99255,10000,
41.6523,-19.1516,459.259,0.177028,7.96103,10000,
42.2412,-19.0342,459.442,0.177707,7.96587,10000,
42.8299,-19.3639,457.001,0.174566,7.79171,10000,
43.4183,-18.9724,458.969,0.176095,7.95069,10000,
44.0066,-19.0736,459.213,0.17699,7.9574,10000,
44.5946,-19.2168,458.817,0.17491,7.95794,10000,
45.1824,-19.0384,459.167,0.175837,7.97422,10000,
45.7699,-19.3233,458.862,0.175359,7.95406,10000,
46.3573,-19.1128,458.771,0.173851,7.97301,10000,
46.9445,-19.0771,458.786,0.174576,7.96116,10000,
47.5315,-18.9397,458.939,0.175713,7.95481,10000,
48.1183,-18.7876,459.32,0.176333,7.97955,10000,
48.656,-18.8789,459.183,0.17667,7.96038,10000,
49.2424,-18.6573,459.396,0.177601,7.96349,10000,
49.8287,-18.5302,459.473,0.177696,7.96896,10000,
50.4635,-18.9346,459.595,0.177923,7.9763,10000,
51.0494,-18.5799,459.503,0.177595,7.97368,10000,
51.6351,-18.4654,459.244,0.177061,7.95899,10000,
52.2206,-18.7585,459.702,0.177886,7.98704,10000,
52.7572,-18.6671,459.366,0.178017,7.95298,10000,
53.3424,-18.6676,459.305,0.17586,7.98681,10000,
53.9275,-18.3592,459.366,0.176862,7.97417,10000,
54.5611,-18.4259,459.381,0.177412,7.96552,10000,
55.0972,-18.5457,459.457,0.178334,7.95582,10000,
55.6818,-18.5572,459.61,0.178648,7.96443,10000,
56.3149,-18.4515,459.488,0.177105,7.98123,10000,
56.8993,-18.1764,459.625,0.179057,7.95836,10000,
57.4834,-18.3719,459.885,0.178394,7.99495,10000,
58.0188,-18.0612,459.122,0.178836,7.91504,10000,
58.6514,-18.0738,459.717,0.178777,7.9721,10000,
59.2352,-18.3494,459.412,0.178715,7.94453,10000,
59.8189,-17.9743,459.854,0.179839,7.96553,10000,
60.4024,-17.8161,460.312,0.179827,8.00873,10000,
60.9859,-17.9881,459.549,0.178593,7.95969,10000,
61.5692,-17.9387,459.869,0.179543,7.9724,10000,
62.1524,-18.1145,459.839,0.179295,7.97408,10000,
62.7355,-17.9348,459.686,0.178189,7.98004,10000,
63.3186,-17.77,459.732,0.179196,7.96587,10000,
63.9015,-17.5634,459.778,0.179976,7.95587,10000,
64.5329,-17.6848,460.129,0.179929,7.98967,10000,
65.1157,-17.1505,459.961,0.17901,7.9908,10000,
65.6498,-17.6377,460.251,0.181788,7.96694,10000,
66.2809,-17.5358,459.824,0.180754,7.94591,10000,
66.8634,-17.2355,460.022,0.18076,7.96438,10000,
67.4459,-17.3832,460.251,0.181959,7.96381,10000,
68.0282,-17.416,459.976,0.181446,7.94753,10000,
68.6105,-17.2382,460.419,0.182445,7.97055,10000,
69.2413,-17.0757,459.839,0.181532,7.93312,10000,
69.8235,-16.8553,460.571,0.182131,7.99057,10000,
70.4056,-16.7943,459.93,0.18252,7.92363,10000,
70.9877,-16.9722,460.297,0.182289,7.96202,10000,
71.5697,-16.504,458.389,0.182963,7.77192,10000,
72.1517,-16.6233,460.327,0.183084,7.95032,10000,
72.7336,-16.3831,458.74,0.182314,7.8163,10000,
73.364,-16.4312,460.663,0.183616,7.97182,10000,
73.9459,-16.3356,460.709,0.184413,7.96146,10000,
74.5278,-16.3948,460.464,0.18423,7.94212,10000,
75.1096,-15.9268,460.831,0.185282,7.95685,10000,
75.6914,-15.9644,460.587,0.183995,7.95777,10000,
76.2732,-15.6423,460.709,0.184714,7.95594,10000,
76.855,-15.8645,460.968,0.185,7.97476,10000,
77.4852,-15.358,460.815,0.184924,7.962,10000,
78.067,-15.2985,461.044,0.184839,7.98481,10000,
78.6003,-14.7722,460.449,0.185124,7.92437,10000,
79.2305,-14.5202,461.136,0.186427,7.96412,10000,
79.8123,-14.0691,461.456,0.18679,7.98708,10000,
