ProDataCSV

Title: Tue Apr 28 11:31:33 2026 231nm

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Temperature,124 temperatures, from 20.3693 to 90.4351degrees Celsius in stepped ramp mode.

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
20.3693,-14.174,444.122,0.136319,7.96146,10000,
20.3693,-14.4924,444.351,0.136435,7.98569,10000,
20.5692,-14.4236,444.107,0.137384,7.9402,10000,
20.9189,-14.4639,444.229,0.137486,7.95236,10000,
21.3183,-14.0836,444.199,0.13771,7.94475,10000,
21.8175,-14.3448,444.199,0.137487,7.94884,10000,
22.3163,-14.247,444.168,0.136943,7.95529,10000,
22.9147,-14.2163,444.336,0.136926,7.97491,10000,
23.413,-14.3624,444.397,0.137964,7.96287,10000,
23.9609,-14.1812,444.687,0.13923,7.97286,10000,
24.5085,-14.6922,444.321,0.138449,7.94524,10000,
25.0559,-14.0305,444.748,0.139268,7.97914,10000,
25.6526,-14.3351,444.626,0.139098,7.9683,10000,
26.1994,-14.4416,444.443,0.13854,7.95755,10000,
26.7458,-14.0625,444.595,0.139386,7.95952,10000,
27.292,-14.1004,444.58,0.138569,7.97276,10000,
27.838,-14.2246,444.534,0.138186,7.97456,10000,
28.3836,-14.3098,444.473,0.138658,7.95889,10000,
28.9786,-14.1955,444.565,0.139442,7.95502,10000,
29.5732,-14.0068,444.595,0.139299,7.96112,10000,
30.1181,-14.0217,444.717,0.139035,7.97993,10000,
30.7121,-14.1297,444.87,0.139516,7.98854,10000,
31.2565,-14.5471,444.321,0.139776,7.921,10000,
31.8005,-14.2373,444.901,0.141854,7.94914,10000,
32.3937,-14.4289,444.855,0.140594,7.96699,10000,
32.9373,-13.9666,444.977,0.141969,7.9557,10000,
33.53,-14.2447,444.656,0.140056,7.95422,10000,
34.073,-13.8529,443.176,0.140367,7.77964,10000,
34.6651,-14.1742,444.977,0.141518,7.96396,10000,
35.3063,-13.9593,444.962,0.142148,7.95068,10000,
35.8486,-13.9351,444.855,0.141813,7.94468,10000,
36.4399,-14.2782,443.481,0.143494,7.75839,10000,
37.031,-14.3228,445.236,0.14234,7.97837,10000,
37.6218,-13.797,445.313,0.14366,7.9628,10000,
38.1632,-13.9743,445.221,0.143946,7.94719,10000,
38.7535,-13.8447,445.099,0.144431,7.92452,10000,
39.3436,-13.9927,445.297,0.145678,7.92416,10000,
39.9334,-14.1173,445.435,0.144005,7.97029,10000,
40.523,-14.0231,445.679,0.144466,7.98943,10000,
41.1123,-14.2423,445.908,0.147287,7.9634,10000,
41.6523,-13.685,445.801,0.146251,7.9704,10000,
42.2412,-13.9193,445.053,0.144476,7.91852,10000,
42.8299,-13.7528,445.511,0.144207,7.97522,10000,
43.4183,-13.9107,445.572,0.143804,7.98952,10000,
44.0066,-13.8582,445.694,0.146439,7.95492,10000,
44.5456,-13.9762,445.267,0.144027,7.95089,10000,
45.1334,-13.9989,444.138,0.143803,7.82716,10000,
45.721,-13.774,445.496,0.144508,7.96796,10000,
46.3084,-14.0591,445.068,0.14325,7.94264,10000,
46.8956,-13.9326,444.885,0.143326,7.9205,10000,
47.4826,-13.7909,444.992,0.144349,7.91394,10000,
48.0694,-13.72,445.435,0.144784,7.95601,10000,
48.656,-13.4942,445.343,0.145448,7.93353,10000,
49.2424,-13.7205,445.358,0.146103,7.92328,10000,
49.8287,-13.6046,444.153,0.146364,7.78285,10000,
50.4147,-13.8192,445.572,0.145665,7.95536,10000,
51.0006,-13.5865,445.953,0.145275,8.00556,10000,
51.5863,-13.3413,445.816,0.146533,7.96694,10000,
52.1719,-13.7404,445.755,0.145523,7.97861,10000,
52.7572,-13.7516,445.999,0.146492,7.9883,10000,
53.3424,-13.5908,443.985,0.146402,7.76329,10000,
53.9275,-13.8804,445.297,0.1457,7.92377,10000,
54.5124,-13.2958,445.633,0.146572,7.94564,10000,
55.0972,-13.6976,445.938,0.147281,7.96694,10000,
55.6818,-13.6862,445.648,0.146208,7.95401,10000,
56.2662,-13.4164,444.107,0.145867,7.78661,10000,
56.8506,-13.5275,444.519,0.147611,7.80164,10000,
57.4348,-13.3708,445.694,0.147201,7.94099,10000,
58.0188,-13.3144,445.923,0.147295,7.96497,10000,
58.6027,-13.2589,446.274,0.147308,8.00415,10000,
59.1865,-13.4672,446.228,0.146874,8.007,10000,
59.8189,-13.2934,444.656,0.148031,7.80949,10000,
60.3538,-13.2968,446.274,0.149246,7.96852,10000,
60.9372,-13.3586,445.618,0.148012,7.91762,10000,
61.5206,-13.0586,445.679,0.147587,7.93222,10000,
62.1524,-13.1578,444.382,0.148106,7.77736,10000,
62.687,-13.2155,445.694,0.147277,7.93959,10000,
63.3186,-13.3025,445.77,0.148134,7.9325,10000,
63.9015,-13.442,446.457,0.148722,7.99862,10000,
64.4844,-12.8729,446.579,0.149665,7.99491,10000,
65.0671,-13.3444,446.06,0.148647,7.95559,10000,
65.6498,-12.9039,444.504,0.148871,7.77732,10000,
66.2324,-12.979,446.06,0.149864,7.93333,10000,
66.8634,-12.9325,444.763,0.150373,7.77941,10000,
