ProDataCSV

Title: Tue Apr 28 11:31:33 2026 197nm

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Temperature,124 temperatures, from 20.3693 to 90.6778degrees Celsius in stepped ramp mode.

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
20.3693,33.5978,574.585,0.793847,7.93605,10000,
20.4193,34.0981,574.844,0.795765,7.92855,10000,
20.7191,33.7097,574.57,0.793994,7.93175,10000,
21.1186,33.3145,574.692,0.795033,7.92574,10000,
21.5679,33.2781,574.707,0.796382,7.90277,10000,
22.017,32.8763,574.936,0.797608,7.90464,10000,
22.5657,33.8253,575.15,0.799605,7.89081,10000,
23.1639,32.9531,575.378,0.799905,7.90937,10000,
23.6621,33.601,575.729,0.799801,7.94811,10000,
24.2099,32.5928,576.019,0.802811,7.92343,10000,
24.7573,33.5824,576.324,0.803485,7.94289,10000,
25.3045,34.0101,576.401,0.804117,7.93927,10000,
25.8515,33.8423,576.706,0.805637,7.94313,10000,
26.4478,33.738,576.828,0.806346,7.94281,10000,
26.9941,33.8012,576.859,0.807869,7.91814,10000,
27.5402,33.4087,577.271,0.809935,7.9228,10000,
28.086,33.6824,578.201,0.8137,7.94903,10000,
28.6316,33.9489,577.911,0.812545,7.94065,10000,
29.2264,32.9602,578.323,0.814245,7.95146,10000,
29.7714,33.356,578.857,0.816571,7.9629,10000,
30.3656,32.8404,578.674,0.816188,7.95144,10000,
30.9101,32.6435,578.995,0.818762,7.93663,10000,
31.5038,33.011,579.3,0.818936,7.96411,10000,
32.0477,33.1493,579.041,0.820978,7.90081,10000,
32.6408,32.892,579.758,0.822298,7.94832,10000,
33.1843,32.5991,579.681,0.823104,7.92598,10000,
33.7768,32.926,579.88,0.82337,7.94084,10000,
34.3691,32.7742,579.803,0.824339,7.91559,10000,
34.9611,33.0883,580.505,0.825383,7.96602,10000,
35.5036,32.7157,580.322,0.827099,7.91658,10000,
36.095,33.2242,580.536,0.827429,7.9316,10000,
36.6863,32.9349,579.422,0.828591,7.80099,10000,
37.2772,32.5895,581.497,0.831016,7.96026,10000,
37.8679,33.0967,581.497,0.833135,7.92151,10000,
38.4092,32.6448,581.94,0.834311,7.94298,10000,
38.9994,32.7667,582.169,0.837006,7.91589,10000,
39.5893,32.6715,582.748,0.838151,7.95076,10000,
40.1791,32.8415,582.779,0.84045,7.91171,10000,
