ProDataCSV

Title: Tue Apr 28 11:31:33 2026 23.4628C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,23.3632,-3.16686,418.625,0.08794,8.00798,10000,
239,23.3632,-4.09375,419.189,0.0906722,7.95603,10000,
238,23.3632,-4.76212,420.639,0.0951713,7.93863,10000,
237,23.3632,-5.72333,422.668,0.0988279,7.92695,10000,
236,23.3632,-6.82793,425.735,0.101598,7.95315,10000,
235,23.3632,-7.8591,429.626,0.110457,7.97112,10000,
234,23.413,-9.42166,433.167,0.113686,7.91727,10000,
233,23.413,-11.1458,437.988,0.117233,7.95823,10000,
232,23.413,-12.4825,439.697,0.126892,7.79679,10000,
231,23.413,-14.3624,444.397,0.137964,7.96287,10000,
230,23.413,-15.9053,447.906,0.147736,7.98138,10000,
229,23.413,-17.478,451.431,0.154945,7.9974,10000,
228,23.413,-18.8326,454.575,0.162742,7.94212,10000,
227,23.413,-20.0925,458.13,0.170062,7.98134,10000,
226,23.4628,-21.0616,461.075,0.170795,7.9555,10000,
225,23.4628,-22.089,464.386,0.18067,7.94647,10000,
224,23.4628,-22.3443,467.941,0.184019,7.95348,10000,
223,23.4628,-22.535,471.603,0.188814,7.98207,10000,
222,23.4628,-22.3058,474.365,0.194304,7.95393,10000,
221,23.4628,-22.0114,477.89,0.203238,7.96932,10000,
220,23.4628,-22.04,480.911,0.209002,7.94401,10000,
219,23.5126,-21.8263,484.161,0.215449,7.95192,10000,
218,23.5126,-21.2974,487.289,0.220668,7.94113,10000,
217,23.5126,-20.9009,490.662,0.228897,7.95919,10000,
216,23.5126,-20.5633,493.759,0.236917,7.98493,10000,
215,23.5126,-20.6145,496.49,0.244221,7.96667,10000,
214,23.5126,-20.7259,499.756,0.256654,7.93628,10000,
213,23.5126,-20.8039,502.09,0.268866,7.97176,10000,
212,23.5126,-20.6988,504.364,0.279367,8.00574,10000,
211,23.5625,-21.4483,505.6,0.295018,7.95674,10000,
210,23.5625,-21.4895,507.339,0.308502,7.91116,10000,
209,23.5625,-21.4315,510.147,0.327189,7.94715,10000,
208,23.5625,-20.8644,512.589,0.346166,7.92823,10000,
207,23.5625,-19.6158,514.725,0.369617,7.84678,10000,
206,23.5625,-16.463,519.44,0.394022,7.96818,10000,
205,23.5625,-13.0091,523.163,0.423146,7.96965,10000,
204,23.6123,-9.44783,527.237,0.453158,7.97554,10000,
203,23.6123,-4.69848,532.059,0.487097,7.96298,10000,
202,23.6123,0.881693,537.354,0.525123,7.91746,10000,
201,23.6123,6.93753,544.815,0.570145,7.92009,10000,
200,23.6123,13.5864,553.513,0.621411,7.92272,10000,
199,23.6621,20.4719,563.202,0.677729,7.94894,10000,
198,23.6621,27.888,569.183,0.738158,7.93704,10000,
197,23.6621,33.601,575.729,0.799801,7.94811,10000,
196,23.6621,38.229,583.466,0.864966,7.95085,10000,
195,23.6621,41.946,589.752,0.927542,7.86154,10000,
194,23.6621,43.149,597.977,0.991462,7.93622,10000,
193,23.6621,44.6556,605.637,1.0514,7.94446,10000,
192,23.7119,44.7424,612.854,1.11074,7.9207,10000,
191,23.7119,43.773,621.704,1.17049,7.93068,10000,
190,23.7119,41.079,628.036,1.23512,7.91696,10000,
