ProDataCSV

Title: Tue Apr 28 11:31:33 2026 51.0738C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:31 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,50.9518,-3.46404,420.685,0.0966335,8.00164,10000,
239,50.9518,-4.15066,420.685,0.100561,7.88592,10000,
238,50.9518,-4.8196,423.279,0.104372,7.96194,10000,
237,51.0006,-5.79185,423.279,0.108424,7.79667,10000,
236,51.0006,-6.74951,428.177,0.111246,7.94611,10000,
235,51.0006,-8.04154,432.327,0.120649,7.96577,10000,
234,51.0006,-9.39995,436.737,0.122782,7.9826,10000,
233,51.0006,-10.503,439.392,0.12713,7.95228,10000,
232,51.0006,-12.1835,442.78,0.13561,8.0059,10000,
231,51.0006,-13.5865,445.953,0.145275,8.00556,10000,
230,51.0006,-15.1131,448.99,0.155416,7.95799,10000,
229,51.0006,-16.6733,452.484,0.162828,7.96173,10000,
228,51.0494,-18.0263,456.116,0.169246,7.97559,10000,
227,51.0494,-18.5799,459.503,0.177595,7.97368,10000,
226,51.0494,-19.4131,462.784,0.178525,7.97032,10000,
225,51.0494,-20.1186,466.11,0.187485,7.97364,10000,
224,51.0494,-20.7537,469.284,0.190655,7.94605,10000,
223,51.0494,-20.855,472.824,0.195937,7.95144,10000,
222,51.0494,-20.3034,476.196,0.201687,7.96395,10000,
221,51.0982,-20.9883,479.141,0.209586,7.9492,10000,
220,51.0982,-20.512,482.376,0.21628,7.92004,10000,
219,51.0982,-20.0808,486.282,0.223552,7.95658,10000,
218,51.0982,-19.6421,489.502,0.228325,7.95607,10000,
217,51.0982,-19.5865,492.569,0.237237,7.93655,10000,
216,51.0982,-19.4309,495.834,0.245132,7.97224,10000,
215,51.147,-19.0605,498.947,0.254054,7.9458,10000,
214,51.147,-18.929,501.602,0.265082,7.99891,10000,
213,51.147,-19.7115,503.204,0.278234,7.93619,10000,
212,51.147,-19.4706,505.798,0.290961,7.96207,10000,
211,51.147,-19.9695,508.087,0.3079,8.0063,10000,
210,51.147,-20.6986,510.452,0.324534,7.96425,10000,
209,51.147,-20.3584,513.077,0.343565,7.96169,10000,
208,51.147,-19.9564,516.312,0.365593,7.9573,10000,
207,51.1959,-18.5714,519.943,0.392947,7.93891,10000,
206,51.1959,-15.6114,524.384,0.420372,7.95155,10000,
205,51.1959,-12.568,529.007,0.453897,7.93139,10000,
204,51.1959,-8.4078,534.302,0.487802,7.94379,10000,
203,51.1959,-3.8761,540.71,0.525836,7.94983,10000,
202,51.2447,0.905855,548.37,0.569357,7.93968,10000,
201,51.2447,6.93351,557.388,0.618985,7.9069,10000,
200,51.2447,13.3218,565.887,0.673031,7.99064,10000,
199,51.2447,19.8022,571.808,0.733474,7.94338,10000,
198,51.2447,25.9527,579.758,0.79835,7.96596,10000,
197,51.2447,31.2631,588.242,0.866382,7.94495,10000,
196,51.2935,35.8108,597.458,0.935685,7.88867,10000,
195,51.2935,38.884,607.727,1.00276,7.93545,10000,
194,51.2935,41.1921,618.179,1.07344,7.92605,10000,
193,51.2935,41.2564,627.335,1.14128,7.92865,10000,
192,51.2935,41.4082,633.82,1.21106,7.94634,10000,
191,51.2935,40.6131,641.815,1.2851,7.93926,10000,
190,51.3423,36.9026,651.581,1.36705,7.94193,10000,
