ProDataCSV

Title: Tue Apr 28 11:31:33 2026 85.7524C

Remarks:
50 mM NaF
25 mM Pi pH 7.5
0.03 Abs Myo
User: Chirascan User
#HV (CDDC channel): 999.985 v
#Time per point: 0.25 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm

Last Modified: Tue Apr 28 15:03:32 2026by unknown.

Options:

Available Dimensions:,1
Wavelength -en 1.000000 -ex 1.000000 -iter -range,Wavelength: 190nm - 240nm, Step Size: 1nm,Bandwidth: 1nm

Available Properties:,6
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.25s (25us x 10000),
Temperature,

Data:

Wavelength,Temperature,CircularDichroism,HV,Absorbance,Voltage,Count,
240,85.6312,-2.6749,425.095,0.11314,8.01721,10000,
239,85.6312,-2.88302,425.095,0.116243,7.91629,10000,
238,85.6312,-3.51473,427.139,0.120421,7.94047,10000,
237,85.6312,-3.78683,429.596,0.124267,7.94605,10000,
236,85.6312,-3.96904,432.602,0.126296,7.96909,10000,
235,85.6312,-4.56202,436.005,0.134497,7.95257,10000,
234,85.6797,-5.12751,439.087,0.13731,7.9646,10000,
233,85.6797,-5.32284,441.65,0.140579,7.98019,10000,
232,85.6797,-5.85743,444.504,0.147431,7.98913,10000,
231,85.6797,-6.66701,447.22,0.156021,7.9493,10000,
230,85.6797,-6.85612,450.5,0.162269,7.99335,10000,
229,85.6797,-7.44153,453.72,0.167843,7.99587,10000,
228,85.6797,-7.85815,457.199,0.177213,7.9352,10000,
227,85.7282,-8.03051,461.517,0.186511,7.99785,10000,
226,85.7282,-8.2442,464.676,0.186425,7.99534,10000,
225,85.7282,-8.64834,467.88,0.197733,7.93899,10000,
224,85.7282,-8.58459,471.893,0.201684,7.96119,10000,
223,85.7282,-8.72388,475.311,0.207697,7.9358,10000,
222,85.7767,-9.20353,479.355,0.214571,7.97247,10000,
221,85.7767,-9.08785,482.956,0.224634,7.95974,10000,
220,85.7767,-9.46759,487.076,0.232815,7.95788,10000,
219,85.7767,-9.23987,491.135,0.242146,7.95551,10000,
218,85.7767,-9.14871,495.01,0.248267,7.96457,10000,
217,85.8252,-9.41453,497.589,0.258236,7.88482,10000,
216,85.8252,-9.23287,501.297,0.269241,7.96362,10000,
215,85.8252,-9.37599,503.708,0.279781,8.00043,10000,
214,85.8252,-9.25704,505.768,0.295103,7.94975,10000,
213,85.8252,-10.076,508.682,0.311189,7.96956,10000,
212,85.8252,-10.2854,512.161,0.327204,8.00696,10000,
211,85.8252,-10.5578,514.816,0.349254,7.97303,10000,
210,85.8737,-11.3143,518.616,0.369948,7.97623,10000,
209,85.8737,-12.0264,522.949,0.396715,7.9648,10000,
208,85.8737,-11.9912,527.924,0.426665,7.93205,10000,
207,85.8737,-12.3884,534.119,0.461712,7.94149,10000,
206,85.8737,-12.442,541.275,0.497844,7.94576,10000,
205,85.9222,-11.8939,549.591,0.541376,7.94305,10000,
204,85.9222,-11.0483,558.96,0.586113,7.94816,10000,
203,85.9222,-10.2484,566.086,0.633999,7.93615,10000,
202,85.9222,-8.39363,572.998,0.688332,7.94975,10000,
201,85.9222,-5.95412,581.131,0.747768,7.95543,10000,
200,85.9222,-4.23856,590.225,0.812336,7.93967,10000,
199,85.9222,-2.428,600.876,0.881318,7.93921,10000,
198,85.9222,1.1484,613.8,0.954703,7.92966,10000,
197,85.9707,3.05132,626.297,1.03169,7.85134,10000,
196,85.9707,5.6179,636.505,1.11433,7.94027,10000,
195,85.9707,7.45905,646.576,1.19462,7.96313,10000,
194,85.9707,9.44611,658.142,1.28123,7.95071,10000,
193,85.9707,10.1013,671.768,1.36701,7.94626,10000,
192,86.0192,10.5982,688.202,1.45848,7.96694,10000,
191,86.0192,11.8626,699.615,1.55945,7.94214,10000,
190,86.0192,11.385,715.851,1.6785,7.90784,10000,
